Nom de l'offre touristique;Type d'offre;Type lieu de visite;Adresse1;Adresse1Suite;Adresse partie 2;Adresse partie 3;Code postal;Bureau distributeur de l'adresse postale;Commune du lieu de visite;Cedex;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;Emplacement de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Présence sur plateforme(s) communautaire(s);Code Embed pour intégrer une vidéo;Widget tripadvisor;Equipements présents sur le site;Services proposés sur l'équipement de loisir;Point d'intérêt visible sans visite: oui / non;Thème du musée ou centre d'interprétation;Thème du musée ou centre d'interprétation;Type du parc ou jardin;Catégorie du parc ou jardin;Style architectural du parc ou jardin;Thème du parc et jardin;Catégorie du site ou monument;Style architectural du site ou monument;Thème du site et monument historique;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;Catégorie de la ville ou du village fleuri;Labels;Langues parlées à l'accueil;Groupe accepté: oui / non;Nombre personnes max pour les groupes;Nombre personnes min pour les groupes;Activité sur place;Durée de visite pour les individuels;Durée de visite pour les groupes;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Visites libres proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langues des audio guides;Langues des panneaux d'information;Langues parlées;Visites libres proposées aux individuels en permanence: oui / non;Les offres proposées;Ouvert toute l'année: oui / non;Période/horaires par jour/précisions ouverture/précision fermeture;Moyen(s) de réservation directe;Moyen(s) de réservation en ligne;Centrale de réservation en ligne?;Tarif gratuit : oui / non;Tarif(s) de l'année en cours proposé(s);Mode(s) de paiement accepté(s);localisation;departement
LA CROIX DU LOUP PENDU;Site et monument historiques;Patrimoine culturel;;;Forêt de Princé;Chéméré;44680;;CHAUMES-EN-RETZ;;44005;47.14179;-1.90596;;;;;;;;;;;;;;;;;;;;;;;Calvaire et enclos paroissiaux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.14179,-1.90596;Loire-Atlantique
ÉGLISE SAINT DENIS ET SAINTE MADELEINE - HAMEAU DE SABLES - BRIOSNE LÈS SABLES;Site et monument historiques;Patrimoine culturel;;;Hameau de Sables;;72110;;BRIOSNE-LES-SABLES;;72048;48.1905287;0.37406608;;;;;;;;;;;;;;;;;;;;;Non Classé;;Eglise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1905287,0.37406608;Sarthe
LA MAISON CORDEMAISIENNE DE L’ESCARGOT;;Patrimoine culturel;;;Jannais des Douets;;44360;;CORDEMAIS;;44045;47.290073;-1.811456;;;;02.40.57.87.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;oui;;;;oui;;;;;;;;;;47.290073,-1.811456;Loire-Atlantique
JARDIN DE L'ARCHE;Parc et jardin;Patrimoine culturel;;;L'Arche;;72110;;SAINT-COSME-EN-VAIRAIS;;72276;48.291091;0.438496;;"En extérieur ombragé ; En extérieur soleil";;02 43 97 57 92;;gerard.delorme10@wanadoo.fr;www.peintures-delorme.fr;;;;;;;;;;;;A l'anglaise;Jardin d'agrément;;;;;;;;;;;;;;;;;;;;;;;;;;;non;;;;;;;;48.291091,0.438496;Sarthe
LE CHÂTEAU DE LA FAVRIE;Site et monument historiques;Patrimoine culturel;;;La Favrie;;44680;;SAINTE-PAZANNE;;44186;47.07378;-1.82976;;;;;;;;;;;;;;;;;;;;;;;Château;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.07378,-1.82976;Loire-Atlantique
CHAPELLE NOTRE DAME DE LA FLEURANCELLERIE;Site et monument historiques;Patrimoine culturel;;;la Fleurancellerie;;44330;;LA REGRIPPIERE;;44140;47.1848402;-1.1801927;;;;02 40 33 63 14;;contact@mairie-laregrippiere.fr;http://www.mairie-laregrippiere.fr/;;;;;;;;;;;;;;;;Chapelle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;47.1848402,-1.1801927;Loire-Atlantique
ÉCLUSE DE LA MARTINIÈRE;Site et monument historiques;Patrimoine culturel;;;La Martinière;;44640;;LE PELLERIN;;44120;47.2077763;-1.785648;;;;;;;;;;;;;;oui;;;;;;;;XIXe siècle;Ecluse;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.2077763,-1.785648;Loire-Atlantique
PARC GERMAINE LE GOFF;Parc et jardin;Patrimoine culturel;;;La Papinière;;44240;;SUCE-SUR-ERDRE;;44201;47.335626;-1.5233265;;;;;;;;;;;;;;oui;;;;;;Parc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.335626,-1.5233265;Loire-Atlantique
LE VILLAGE DE LA SICAUDAIS;Site et monument historiques;Patrimoine culturel;;;La Sicaudais;Arthon-en-Retz;44320;;CHAUMES-EN-RETZ;;44005;47.18702;-1.94659;;;;;;;;;;;;;;;;;;;;;;XIXe siècle;Pays - Ville - village et quartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.18702,-1.94659;Loire-Atlantique
CHÂTEAU DE LA TUFFIERE;Site et monument historiques;Patrimoine culturel;;;La Tuffière;Lué-en-Baugeois;49140;;JARZE VILLAGES;;49163;47.515979;-0.286256;;;06 73 17 21 83;;;cpm2b@yahoo.fr;;;;;;;;;;;;;;;Classé ou inscrit;XIXe siècle;Château;;;;;;;;;;;;;oui;oui;non;;oui;oui;;;Français;non;;non;;;;;non;;;47.515979,-0.286256;Maine-et-Loire
EXPOSITION PERMANENTE SUR LA BASE AÉRONAVALE AMÉRICAINE DE LA VILLE EN BOIS;Musée et centre d'interprétation;Patrimoine culturel;;;lac de St-Viaud;;44320;;SAINT-VIAUD;;44192;47.25996;-2.0148;;;;02 40 27 53 14;;;;;;;;;;;;Militaire;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.25996,-2.0148;Loire-Atlantique
ECLUSE DU CARNET;Musée et centre d'interprétation;Patrimoine culturel;;;Le Carnet;;44320;;FROSSAY;;44061;47.26778;-1.94774;;;;;;;http://www.canal-maritime-basse-loire.fr;;;;;;;;;Maritime;;;;;;XIXe siècle;;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.26778,-1.94774;Loire-Atlantique
EPOPÉA : PERSÉE, UNE ÉPOPÉE À VIVRE;Musée et centre d'interprétation;Patrimoine culturel;;;Le Logis de Linières;Ballée;53340;;VAL-DU-MAINE;;53017;47.943232;-0.4031071;;;06 86 69 71 05;;;contact@linieres.fr;https://www.linieres.fr/epopea;;Facebook||https://www.facebook.com/chateaudeliniere;;;Cafétéria / Restaurant;;;;Histoire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;non;07/05/2022||30/10/2022||||||||||||||||||||||10:00||18:00||||||10:00||18:00||||||10:00||18:00||||||10:00||18:00||||||10:00||18:00||||;;||https://www.billetweb.fr/epopea1&src=agenda||||06 86 69 71 05||contact@linieres.fr;oui;non;"Tarif indiv. adulte||14,00||14,00||Comprend la visite de Linière(s);Tarif indiv. enfant||8,00||8,00||4-12 ans;Tarif indiv. réduit||7,00||10,00||";;47.943232,-0.4031071;Mayenne
LE MOULIN LACROIX;Site et monument historiques;Patrimoine culturel;;;Le Moulin Lacroix;;44640;;CHEIX-EN-RETZ;;44039;47.1777;-1.78357;;;;;;;;;;;;;;;;;;;;;;Médiéval;Moulin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.1777,-1.78357;Loire-Atlantique
LE PORT DE COMBERGE;Site et monument historiques;Patrimoine culturel;;;Le Port de Comberge;Boulevard de l'Océan;44730;;SAINT-MICHEL-CHEF-CHEF;;44182;47.17436;-2.16511;;;06 20 87 15 26;09 83 77 30 26;;stmichelchefchef@ports.loire-altantique.fr;http://www.stmichelchefchef.fr/port-de-comberge;;;;;"Bar / Salon de thé;Cafétéria / Restaurant";;;;Maritime;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;47.17436,-2.16511;Loire-Atlantique
LE MANOIR DU PRE-NOUVEAU;Site et monument historiques;Patrimoine culturel;;;Le Pré Nouveau;;44710;;PORT-SAINT-PERE;;44133;47.13176;-1.75511;;;;;;;;;;;;;;;;;;;;;;XIXe siècle;Château;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.13176,-1.75511;Loire-Atlantique
LES ANCIENNES BRIQUETERIES;Site et monument historiques;Patrimoine culturel;;;Le Pré-Berthelot;Arthon-en-Retz;44320;;CHAUMES-EN-RETZ;;44005;47.15755;-1.93577;;;;;;;;;;;;;;;;;;;;;;Renaissance;Maison et bâtiment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.15755,-1.93577;Loire-Atlantique
CHÂTEAU LE PUY;Site et monument historiques;Patrimoine culturel;;;Le Puy;;53170;;RUILLE-FROID-FONDS;;53193;47.9011277;-0.5998416;;;;02 43 07 74 56;;info@chateaulepuy.com;https://www.chateaulepuy.com/;;;;;;;;;;;;;;Classé ou inscrit;;Château;;;;;;;;;;;;;;;;;;;;;;oui;;non;;Monsieur MESLAY||02 43 07 74 56||marc.meslay@hotmail.fr;;;;"Tarif indiv. adulte||||||Visite libre de l'extérieur;Gratuité||||||Gratuit pour les - de 14 ans";;47.9011277,-0.5998416;Mayenne
MANOIR DE CHAPPE;Site et monument historiques;Patrimoine culturel;;;lieu dit chappe;Fontaine Guérin;49250;;LES BOIS D'ANJOU;;49138;47.4949354;-0.1896387;;;06 63 27 48 81;;;chateauchappe@gmail.com;;;;;;;;non;;;;;;;;;Château;non;;;;;;;;;;;;;;;;;;;;"Français;Anglais";;;non;01/07/2022||26/08/2022||sur RDV uniquement, merci de téléphoner au plus tard la veille de votre visite||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||06 63 27 48 81||;;;oui;;;47.4949354,-0.1896387;Maine-et-Loire
ANCIENNE ECOLE NORMALE;Site et monument historiques;Patrimoine culturel;;;Lycée Jacques Prévert;Rue Joseph Malègue;44260;;SAVENAY;;44195;47.3650514;-1.9397306;;;;;;;;;;;;;;oui;;;;;;;Non Classé;;Maison et bâtiment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.3650514,-1.9397306;Loire-Atlantique
EGLISE SAINT VICTOR;Site et monument historiques;Patrimoine culturel;;;Place de l'Eglise;;44170;;LA GRIGONNAIS;;44224;47.5268024;-1.6674631;;;;;;gourguenez@gmail.com;;;;;;;;oui;;;;;;;Classé ou inscrit;XIXe siècle;Eglise;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.5268024,-1.6674631;Loire-Atlantique
EGLISE NOTRE DAME DE L'ASSOMPTION;Site et monument historiques;Patrimoine culturel;;;Place de l'Eglise;La Chapelle-Basse-Mer;44450;;DIVATTE-SUR-LOIRE;;44029;47.2721182;-1.3380825;;;;02 40 33 34 00;;mairie@divattesurloire.fr;http://www.divattesurloire.fr/;;;;;;;;;;;;;;;Gothique;Eglise;;;;;;;;;;;;;non;non;oui;non;non;non;;;;oui;;oui;;;;;oui;;;47.2721182,-1.3380825;Loire-Atlantique
EGLISE NOTRE DAME;Site et monument historiques;Patrimoine culturel;;;Place de l'Eglise;LIRE;49270;;OREE D'ANJOU;;49069;47.3427185;-1.1642324;;;;02 40 98 13 71;;;;;;;;;;;;;;;;;;"Antique ; Gothique";Eglise;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.3427185,-1.1642324;Maine-et-Loire
LE VILLAGE DE CHAUVE;Site et monument historiques;Patrimoine culturel;;;Place de l'église;;44320;;CHAUVE;;44038;47.15086;-1.9851;;;;;;;;;;;;;;;;;;;;;;;Pays - Ville - village et quartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.15086,-1.9851;Loire-Atlantique
L'ÉGLISE SAINT-MARTIN;Site et monument historiques;Patrimoine culturel;;;Place de l'église;;44640;;LES MOUTIERS-EN-RETZ;;44106;47.18535;-1.85986;;;;;;;;;;;;;;;;;;;;;;;Eglise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.18535,-1.85986;Loire-Atlantique
ÉGLISE SAINT PIERRE ET SAINT PAUL - COURGAINS;Site et monument historiques;Patrimoine culturel;;;Place de l'église;;72260;;COURGAINS;;72104;48.2895096;0.2795327;;;;02 43 97 49 15;;;;;;;;;;;;;;;;;Classé ou inscrit;Gothique;Eglise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2895096,0.2795327;Sarthe
ÉGLISE NOTRE-DAME DE BON SECOURS;Site et monument historiques;Patrimoine culturel;;;place de L'église;;44760;;LA BERNERIE-EN-RETZ;;44012;47.08091;-2.03591;;;;;;;;;;;;;;;;;;;;;;XIXe siècle;Eglise;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.08091,-2.03591;Loire-Atlantique
FENEU, AU FIL DE LA MAYENNE;Site et monument historiques;Patrimoine culturel;;;place de la mairie;;49460;;FENEU;;49135;47.57062;-0.59361;;;;02 41 27 27 30;;accueil.mairie@feneu.fr;http://www.feneu.fr;;;;;;;;;;;;;;;;Pays - Ville - village et quartier;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.57062,-0.59361;Maine-et-Loire
ANCIENNE MAIRIE DE BOURGNEUF;Site et monument historiques;Patrimoine culturel;;;Place de la Mairie;Bourgneuf-en-Retz;44580;;VILLENEUVE-EN-RETZ;;44021;47.04348;-1.95199;;;;02 40 21 40 07;;mairie.villeneuve@villeneuvenretz.fr;https://www.villeneuvenretz.fr/;;;;;;;;;Histoire;;;;;;XIXe siècle;Maison et bâtiment;oui;;;;;;;;;;;;;;;;;;;;;oui;;;01/01/2021||31/12/2021||Visite libre toute l'année. (en extérieure).||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.04348,-1.95199;Loire-Atlantique
JARDINS DE LA VICTOIRE;Parc et jardin;Patrimoine culturel;;;Place de la Victoire;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28684;-2.39104;;;;02 51 75 75 75;;accueil@mairie-labaule.fr;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;47.28684,-2.39104;Loire-Atlantique
PARC DES DRYADES;Parc et jardin;Patrimoine culturel;;;Place des Dryades;;44500;;LA BAULE-ESCOUBLAC;;44055;47.28162;-2.36304;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;;oui;;;01/05/2021||31/12/2021||Horaires week-ends et jours fériés||||08:00||20:30||||||08:00||20:30||||||08:00||20:30||||||08:00||20:30||||||08:00||20:30||||||08:00||20:30||||||08:00||20:30||||;;;;;;;47.28162,-2.36304;Loire-Atlantique
SALLE D'EXPOSITION DE PORNICHET;;Patrimoine culturel;;;Place du Marché;;44380;;PORNICHET;;44132;47.26042;-2.33853;;;;;;;http://ville-pornichet.fr;;;;;;;;;;;;;;;;;non;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;47.26042,-2.33853;Loire-Atlantique
EGLISE SAINT LAURENT;Site et monument historiques;Patrimoine culturel;;;Place Jean Guihard;;44130;;BLAIN;;44015;47.4751017;-1.7640199;;;;;;;;;;;;;;oui;;;;;;;Non Classé;XIXe siècle;Eglise;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.4751017,-1.7640199;Loire-Atlantique
LES REMPARTS DE GUÉRANDE;Site et monument historiques;Patrimoine culturel;;;Place Saint-Jean;;44350;;GUERANDE;;44069;47.32673;-2.42872;;;;02 28 55 05 05;;contact.patrimoine@ville-guerande.fr;http://www.ville-guerande.fr;;;;;;;;;;;;;;;;Château;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.32673,-2.42872;Loire-Atlantique
CHAPELLE SAINTE APOLLINE;Site et monument historiques;Patrimoine culturel;;;Place Sainte Apolline;DRAIN;49530;;OREE D'ANJOU;;49069;47.3411306;-1.2066839;;;;02 40 98 20 16;;;;;;;;;;oui;;;;;;;;;Chapelle;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.3411306,-1.2066839;Maine-et-Loire
CHAPELLE NOTRE DAME DE MERQUEL;Site et monument historiques;Patrimoine culturel;;;Pointe de Merquel;;44420;;MESQUER;;44097;47.41961;-2.46796;;;;02 40 42 51 15;;;;;;;;;;;;;;;;;;;Eglise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.41961,-2.46796;Loire-Atlantique
SÉMAPHORE DE LA POINTE SAINT-GILDAS;Site et monument historiques;Patrimoine culturel;;;Pointe Saint-Gildas;;44770;;PREFAILLES;;44136;47.13372;-2.24588;;;;02 40 21 01 21;;semaphore@pornicagglo.fr;http://www.pornicagglo.fr/lieu/semaphore/;;;;;;;;;"Histoire;Maritime;Militaire";;;;;;XIXe siècle;;;;;;;;;;;;;;oui;;;;;;;;;oui;;;"01/04/2022||30/06/2022||||||10:00||13:00||14:30||18:00||||||||||10:00||13:00||14:30||18:00||10:00||13:00||14:30||18:00||10:00||13:00||14:30||18:00||10:00||13:00||14:30||18:00||10:00||13:00||14:30||18:00;01/07/2022||31/08/2022||||||10:00||13:00||14:30||19:00||10:00||13:00||14:30||19:00||10:00||13:00||14:30||19:00||10:00||13:00||14:30||19:00||10:00||13:00||14:30||19:00||10:00||13:00||14:30||19:00||10:00||13:00||14:30||19:00;01/09/2022||30/09/2022||||||10:00||13:00||14:30||18:00||||||||||10:00||13:00||14:30||18:00||10:00||13:00||14:30||18:00||10:00||13:00||14:30||18:00||10:00||13:00||14:30||18:00||10:00||13:00||14:30||18:00;01/10/2022||31/10/2022||||||||||||||||||||||14:30||17:30||||||14:30||17:30||||||14:30||17:30||||||14:30||17:30||||||14:30||17:30||||";;;;;;"Chèques bancaires et postaux;Chèques Vacances;Espèces";47.13372,-2.24588;Loire-Atlantique
PORT AU LOUP;Site et monument historiques;Patrimoine culturel;;;Port au Loup;;44420;;PIRIAC-SUR-MER;;44125;47.38683;-2.52866;;;;;;;;;;;;;;;;;;;;;;;Pays - Ville - village et quartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.38683,-2.52866;
LE MANOIR DE PRINCE-NEUF;Site et monument historiques;Patrimoine culturel;;;Princé-Neuf;Chéméré;44680;;CHAUMES-EN-RETZ;;44005;47.15415;-1.90132;;;;;;;;;;;;;;;;;;;;;;XIXe siècle;Château;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.15415,-1.90132;Loire-Atlantique
PHARE DE PAIMBOEUF;Site et monument historiques;Patrimoine culturel;;;Quai Boulay Paty;;44560;;PAIMBOEUF;;44116;47.29039;-2.03259;;;;02 40 27 53 82;;;;;;;;;;;;;;;;;;;Phare;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.29039,-2.03259;Loire-Atlantique
MÉMORIAL DE L'ABOLITION DE L'ESCLAVAGE;Musée et centre d'interprétation;Patrimoine culturel;;;Quai de la Fosse;;44000;;NANTES;;44109;47.209482;-1.5649509;;;;;;;http://memorial.nantes.fr/;;;;;;;oui;;Histoire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.209482,-1.5649509;Loire-Atlantique
LE CHÂTEAU ET LA CHAPELLE DE LA BLANCHARDAIS;Site et monument historiques;Patrimoine culturel;;;Route de Chauvé;;44640;;VUE;;44220;47.19681;-1.89086;;;;;;;;;;;;;;;;;;;;;;;"Chapelle;Château";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.19681,-1.89086;Loire-Atlantique
CALVAIRE DE BERNUGAT;Site et monument historiques;Patrimoine culturel;;;Route du Cougou;;44530;;SAINT-GILDAS-DES-BOIS;;44161;47.52341;-2.03539;;;;;;;;;;;;Aire de pique nique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;47.52341,-2.03539;Loire-Atlantique
PARC DE L'ILE AUX PLANCHES;Parc et jardin;Patrimoine culturel;;;rue Ampère;;72000;;LE MANS;;72181;47.9994482;0.18846238;;;;;;;;;Guidigo||https://www.guidigo.com/Tour/France/Le%20Mans/Au-fil-de-la-Sarthe-et-de-l-Ile-aux-Planches/yvqa3hmfRbU;;;;Espace jeux;;;;;;Contemporain;Parc;;;;;;;;;;;;;;;;;;;;;;;;;;Proposition clientèle||PCU878000181;;;;;;oui;;;47.9994482,0.18846238;Sarthe
JARDIN MÉDIÉVAL DE LA SOURCE;Parc et jardin;Patrimoine culturel;;;Rue d'Alsace Lorraine;;53200;;CHATEAU-GONTIER-SUR-MAYENNE;;53062;47.825063;-0.703674;;;;02 43 70 42 74;;tourisme@sud-mayenne.com;;;;;;;;oui;;;"Collection de végétaux;Plantes médicinales / simples";;"A la française;De curé / monastique";;;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.825063,-0.703674;Mayenne
EGLISE NOTRE DAME DU BON PORT DE BOURGNEUF EN RETZ;Site et monument historiques;Patrimoine culturel;;;Rue de l'Eglise;Bourgneuf-en-Retz;44580;;VILLENEUVE-EN-RETZ;;44021;47.04261;-1.95304;;;;02 40 21 40 07;;mairie.villeneuve@villeneuvenretz.fr;https://www.villeneuvenretz.fr/;;;;;;;;;;;;;;;XIXe siècle;Eglise;;;;;;;;;;;;;;;oui;;;;;;;oui;;;01/01/2022||31/12/2022||Visite libre de l'édifice. (sauf aux horaires des messes)||||09:00||18:00||||||09:00||18:00||||||09:00||18:00||||||09:00||18:00||||||09:00||18:00||||||09:00||18:00||||||09:00||18:00||||;;;;;;;47.04261,-1.95304;Loire-Atlantique
EGLISE SAINT MARTIN;Site et monument historiques;Patrimoine culturel;;;Rue de la Fontaine Saint Martin;;44360;;VIGNEUX-DE-BRETAGNE;;44217;47.3266881;-1.7374586;;;;;;;;;;;;;;oui;;;;;;;;;Eglise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.3266881,-1.7374586;Loire-Atlantique
LES HALLES DE BOURGNEUF;Site et monument historiques;Patrimoine culturel;;;Rue de la Taillée;Bourgneuf-en-Retz;44580;;VILLENEUVE-EN-RETZ;;44021;47.04252;-1.95383;;;;02 40 21 40 07;;;https://www.villeneuvenretz.fr/;;;;;;;;;;;;;;;;Halle;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;47.04252,-1.95383;Loire-Atlantique
ÉTIER DE LA TAILLÉE ET ANCIEN PORT DE BOURGNEUF;Site et monument historiques;Patrimoine culturel;;;Rue de la Taillée;Bourgneuf-en-Retz;44580;;VILLENEUVE-EN-RETZ;;44021;47.04182;-1.95536;;;;02 40 21 40 07;;;https://www.villeneuvenretz.fr/;;;;;;;;;"Environnement et nature;Maritime";;;;;;"Médiéval ; Renaissance";;oui;;;;;;;;;;;;;;;;;;;;;oui;;;01/01/2021||31/12/2021||Visite libre toute l'année. (en extérieur).||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.04182,-1.95536;Loire-Atlantique
JARDIN DE LA MÉDIATHÈQUE JOSEPH ROUSSE;Parc et jardin;Patrimoine culturel;;;Rue des Ajoncs;;44770;;LA PLAINE-SUR-MER;;44126;47.13765;-2.19055;;;;02 51 74 81 92;;;;;;;;Aire de pique nique;;;;;;;;;;;;oui;;;;;;;;;;;;;;oui;;;;;;;oui;;;;;;;;;;47.13765,-2.19055;Loire-Atlantique
PORT-LAVIGNE;Site et monument historiques;Patrimoine culturel;;;rue des pêcheurs;;44340;;BOUGUENAIS;;44020;47.190545;-1.6424161;;;;;;;;;;;;;;oui;;;;;;;;;Port;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;oui;;;47.190545,-1.6424161;Loire-Atlantique
CALVAIRE DE LA DOUVE;Site et monument historiques;Patrimoine culturel;;;Rue des Remparts;;44210;;PORNIC;;44131;47.11668;-2.10396;;;;;;;;;;;;;;;;;;;;;;;Calvaire et enclos paroissiaux;oui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.11668,-2.10396;Loire-Atlantique
CHAPELLE DE L’HÔPITAL;Site et monument historiques;Patrimoine culturel;;;Rue du Pont Edelin;Bourgneuf-en-Retz;44580;;VILLENEUVE-EN-RETZ;;44021;47.04504;-1.95255;;;;02 40 21 40 07;;;https://www.villeneuvenretz.fr/;;;;;;;;;;;;;;;Renaissance;Chapelle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.04504,-1.95255;Loire-Atlantique
A LA POURSUITE DU TEMPS CACHE : PRIEURÉ DE CHÂTEAU L'HERMITAGE;Musée et centre d'interprétation;Patrimoine culturel;;;Rue Geoffroy Plantagenet;;72510;;CHATEAU-L'HERMITAGE;;72072;47.8034695;0.18245303;;;;02 43 38 16 62;;pays.art.histoire@pays-valleeduloir.fr;https://www.alapoursuitedutempscache.fr/;;Facebook||https://www.facebook.com/TempsCache;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.8034695,0.18245303;Sarthe
JARDIN DES FONDERIES;Parc et jardin;Patrimoine culturel;;;Rue Louis Joxe;;44200;;NANTES;;44109;47.2056628;-1.5446734;;;;;;;http://www.jardins.nantes.fr;;;;;;;oui;;;;;"Contemporain;Exotique";Parc;;;;oui;Chiens tenus en laisse;;;;Français;;;;;;1h00;;oui;oui;non;non;non;"Anglais;Espagnol;Français";Français;"Français;Anglais";oui;;oui;"18/11/2021||14/01/2022||||horaires d'hiver||08:30||17:15||||||08:30||17:15||||||08:30||17:15||||||08:30||17:15||||||08:30||17:15||||||08:30||17:15||||||08:30||17:15||||;15/01/2022||19/03/2022||||horaires de printemps||08:30||18:15||||||08:30||18:15||||||08:30||18:15||||||08:30||18:15||||||08:30||18:15||||||08:30||18:15||||||08:30||18:15||||;20/03/2022||22/10/2022||||horaires d'été||08:30||19:30||||||08:30||19:30||||||08:30||19:30||||||08:30||19:30||||||08:30||19:30||||||08:30||19:30||||||08:30||19:30||||;23/10/2022||17/11/2022||||horaires d'automne||08:30||18:30||||||08:30||18:30||||||08:30||18:30||||||08:30||18:30||||||08:30||18:30||||||08:30||18:30||||||08:30||18:30||||";;||http://www.nantes-tourisme.com/book/105171||||||;oui;oui;;;47.2056628,-1.5446734;Loire-Atlantique
VILLAGE DE SAINT-SÉBASTIEN;Site et monument historiques;Patrimoine culturel;;;Saint-Sébastien;;44420;;PIRIAC-SUR-MER;;44125;47.36731;-2.51638;;;;;;;;;;;;;;;;;;;;;;;Pays - Ville - village et quartier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.36731,-2.51638;Loire-Atlantique
PLACE DE LA SIRÈNE;Site et monument historiques;Patrimoine culturel;;Ancien Hôtel du Verger;Rue de la Barillerie et rue Marchande;;72000;;LE MANS;;72181;48.0063751;0.19842901;;;;;;;;;;;;;;oui;;;;;;;Classé ou inscrit;Classique;"Maison et bâtiment;Place";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0063751,0.19842901;Sarthe
LES TERRASSES DU VERGER;Parc et jardin;Patrimoine culturel;;Près de l'enceinte romaine;rue Denfert-Rochereau;Cité Plantagenêt;72000;;LE MANS;;72181;48.0110577;0.19786305;;;;;;;;;;;;;;;;;Collection de végétaux;;"Contemporain;En terrasse";"Arboretum;Parc";;;;;;;;;;;;;;;;;;;;;;;;;;Proposition clientèle||PCU878000181;;;;;;oui;;;48.0110577,0.19786305;Sarthe
LA CHAPELLE DE RECOUVRANCE;Site et monument historiques;Patrimoine culturel;;Route d'Héric;;;44390;;CASSON;;44027;47.3944547;-1.5643528;;;;;;;;;;;;;;oui;;;;;;;;;Chapelle;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.3944547,-1.5643528;Loire-Atlantique
