Nom de l'offre d'activité touristique;Type détaillé d'activité;Adresse partie 1: Porte/escalier;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Commune de l'activité;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Situation de l'offre;Emplacement géographique;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Type de plateforme/url;Services proposés sur l'équipement de loisir;Equipements présents sur le site de loisir;Animal accepté: oui / non;Complément information animal accepté;Labels;Label tourisme handicap;Groupe accepté: oui / non;Catégorie de la prestation fournie;Type formule itinérante;Activité sportive proposée;Type activité culturelle proposée;Langues parlées à l'accueil;Langues des audio guides;Visites libres proposées aux individuels en permanence: oui / non;Durée de visite pour les individuels;Visites guidées proposées aux individuels en permanence: oui / non;Visites guidées proposées aux individuels sur demande: oui / non;Langues des panneaux d'info;Langues parlées;Complément d'info sur les visites;Visites guidées proposées aux groupes en permanence: oui / non;Visites pédagogiques proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes en permanence: oui / non;Visites guidées proposées aux groupes sur demande: oui / non;Durée de visite pour les groupes;Lieux de pratique de l'activité de loisirs;Commune de départ de la formule itinérante;Commune d'arrivée de la formule itinérante;Ouverture de l'offre toute l'année: oui / non;Horaires d'ouvertures;ResaDirecte;Centrale de réservation en ligne: oui / non;Nom centrale de réservation en ligne: url réservation en ligne / téléphone centrale / mail centrale;Tarifs;Tarif gratuit : oui / non;Modes de paiement acceptés;localisation;Département
ASSOCIATION SPIRALES - CENTRE BEAULIEU;Activités sportives et ludiques;;;176 avenue François Chancel;;72000;LE MANS;;72181;48.0185676;0.1932447;;;;02 43 23 20 47;;accueil@centrebeaulieu-lemans.fr;www.centrebeaulieu-lemans.fr;;;;non;;;;oui;Cours;;Remise en forme;;Anglais##Français;;;;;;;;;;;;;;"Dans un esprit de convivialité et de partage, l’association Spirales vous accueille, depuis plus de 25 ans, dans un lieu lumineux et chaleureux : le centre Beaulieu.;Proche du centre-ville, il a été pensé pour accueillir les adhérents dans des conditions optimales, de par sa construction bioclimati";;;oui;;;;;"Tarif indiv. adulte||||||6 tranches tarifaires possibles; en fonction des revenus.;Préinscription donnant droit à 10% de réduction;2ème activité à -50%;Possibilité de bénéficier de 10% de réduction pour tout parrainage";;Chèques bancaires et postaux##Chèques Vacances;48.0185676,0.1932447;Sarthe
ASSOCIATION SPORTIVE PETANQUE THARONNAISE MICHELOISE;;;;Complexe Sportif de la Viauderie;Rue de la Viauderie;44730;SAINT-MICHEL-CHEF-CHEF;;44182;47.18287;-2.15202;;;06 16 45 09 84;;;monique.salmon14@sfr.fr;;;;Parking;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;Espèces;47.18287,-2.15202;Loire-Atlantique
ATELIER COULEURS ET PATINES;Activités culturelles;;;;La Tidoire;49123;CHAMPTOCE-SUR-LOIRE;;49068;47.438872;-0.8757809;;;06 87 24 86 08;;;nellydeco@orange.fr;http://www.atelier-couleursetpatines.fr;;;;;;;;;;;;Chantiers restauration;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.438872,-0.8757809;Maine-et-Loire
ATELIER CUISINE POUR ANGLOPHONE :  « CUISINEZ-VOUS LE FRANÇAIS ? »;Activités culturelles;Château de la Mazure;;;;53260;FORCE;;53099;48.034234;-0.703926;;;;02 43 53 55 63;;bienvenue@chateaulamazure.com;http://www.chateaulamazure.com/;Facebook||https://www.facebook.com/Chateau-De-La-Mazure-295570954108948/##Instagram||https://www.instagram.com/chateaudelamazure/;;;non;;;;oui;;;;Gastronomie;Allemand##Anglais##Espagnol##Français;;;;;;;;;;;;;;Château de la Mazure à Forcé (10 km de Laval);LAVAL;LAVAL;;;;;;;;;48.034234,-0.703926;Mayenne
ATELIER DE LA GLORIETTE;Activités culturelles;;;588 rue de Saint Mars;;44240;SUCE-SUR-ERDRE;;44201;47.3369496;-1.5166964;Gare SNCF||Suce sur erdre||3##Autoroute||Carquefou||6##Aéroport/aérodrome||Nantes atlantique||20;;07 70 67 99 54;02 40 77 28 75;;patriciapetitberghien@gmail.com;http://www.patriciapetitberghien.com;;;;oui;;;;oui;Stage d’initiation;;;Peintures arts graphiques;Anglais##Français;;;;;;;;;;;;;;SUCÉ-SUR-ERDRE;SUCE-SUR-ERDRE;SUCE-SUR-ERDRE;oui;;Patricia PETITBERGHIEN||||patriciapetitberghien@gmail.com;;;;;Chèques bancaires et postaux;47.3369496,-1.5166964;Loire-Atlantique
ATELIERS MODELAGE TERRE;Activités culturelles;;;23 rue charles de gaulle;;49430;LES RAIRIES;;49257;47.6500975;-0.2063449;;;;;;josselin.metivier@gmail.com;;;;;;;;;;Stage d’initiation;;;;Français;;;;;;;;;;;;;;LES RAIRIES;LES RAIRIES;LES RAIRIES;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;METIVIER Josselin||||josselin.metivier@gmail.com;;;Tarif indiv. adulte||25,00||||25€ l'heure par personne;;Chèques bancaires et postaux##Espèces;47.6500975,-0.2063449;Maine-et-Loire
AU CHAP';Jeux pour enfants;;;;;72320;THELIGNY;;72353;48.175404;0.800529;;;;06 24 47 04 45;;;https://www.facebook.com/BABYACROYOGA/;;;;;;;;;;;;;;;;;;;;;;;;non;;;;;;;;;;;;;;48.175404,0.800529;Sarthe
AUREL'HORSE;Centre équestre##Halte équestre;;;216 CHEMIN DES RAGOTTERIES;;72110;COURCEMONT;;72101;48.1899255;0.35045328;;;06 14 71 06 64;0243428944;;aurelhorse@gmail.com;www.aurelhorse.fr;Facebook||https://www.facebook.com/aurelhorse/;;Aire de pique nique##Prise électrique##Toilettes;oui;Chien tenu en laisse;;;oui;;;;;Anglais##Français;;oui;;;;Français;Français;;;;;;;;;;oui;;GYPTEAU Aurélie||06 14 71 06 64||aurelhorse@gmail.com;;;Tarif indiv. adulte||||||A partir de 25€ pour 1h de balade occasionnellement, le reste des prestations en balades et randonnées sont à la carte.;;Chèques bancaires et postaux##Chèques Vacances;48.1899255,0.35045328;Sarthe
AUX MENUS OUVRAGES;Activités culturelles;;;;;44390;CASSON;;44027;47.394425;-1.549992;;;06 24 09 11 25;;;auxmenusouvrages@gmail.com;https://auxmenusouvrages.fr/;Instagram||https://www.instagram.com/aux_menus_ouvrages/##Facebook||https://www.facebook.com/auxmenusouvrages;;;;;;;;;;;;;;;;;;;;;;;;;;CASSON;;CASSON;;;;;;;;;47.394425,-1.549992;Loire-Atlantique
AËL - MAT;;;;;;44420;LA TURBALLE;;44211;47.34753;-2.51221;;;;07 82 16 23 44;;aelmat.pecheauthon@orange.fr;http://www.aelmat-pecheauthon.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/07/2022||30/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.34753,-2.51221;
BAIGNADE  DU LAC DE MAINE;Base de loisirs##Jeux pour enfants##Plage surveillée;;;49 Avenue Lac du Maine;;49000;ANGERS;;49007;47.45862;-0.59368;;En extérieur ombragé;;;02 41 22 32 21;infos@lacdemaine.fr;http://www.lacdemaine.fr;;;Aire de pique nique##Bar##Toilettes;oui;;La Loire à vélo;;oui;;;;;Anglais##Français;;;;;;;;;;;;;;;;;;06/06/2020||26/06/2020||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||||14:00||19:00||||##27/06/2020||31/08/2020||||||12:00||20:00||||||12:00||20:00||||||12:00||20:00||||||12:00||20:00||||||12:00||20:00||||||12:00||20:00||||||12:00||20:00||||##02/06/2021||20/06/2021||||||||||||||||||||||14:00||18:30||||||||||||||||||||||14:00||18:30||||||14:00||18:30||||##21/06/2021||02/07/2021||||||14:00||18:30||||||14:00||18:30||||||14:00||18:30||||||14:00||18:30||||||14:00||18:30||||||14:00||18:30||||||14:00||18:30||||##03/07/2021||29/08/2021||||||12:00||20:00||||||12:00||20:00||||||12:00||20:00||||||12:00||20:00||||||12:00||20:00||||||12:00||20:00||||||12:00||20:00||||;;;;;;;47.45862,-0.59368;Maine-et-Loire
BAIGNADE DE L'ÎLE DU CHÂTEAU;Base de loisirs##Plage surveillée;;;Avenue de  la Boire Salée;;49130;LES PONTS-DE-CE;;49246;47.42488;-0.5333;;;;;;contact@ville-lespontsdece.fr;http://www.ville-lespontsdece.fr;;;;;;;;;;;;;Français;;;;;;;;;;;;;;;;;;15/06/2020||01/09/2020||||||14:00||20:00||||||14:00||20:00||||||14:00||20:00||||||14:00||20:00||||||14:00||21:00||||||11:00||13:00||14:00||20:00||11:00||13:00||14:00||20:00##12/06/2021||31/08/2021||||||11:00||13:00||14:00||20:00||11:00||13:00||14:00||20:00||11:00||13:00||14:00||20:00||11:00||13:00||14:00||20:00||11:00||13:00||14:00||21:00||11:00||13:00||14:00||20:00||11:00||13:00||14:00||20:00;;;;;;;47.42488,-0.5333;Maine-et-Loire
BAIN PUBLIC;Salle de spectacle;;;24 Rue des Halles;;44600;SAINT-NAZAIRE;;44184;47.2763931;-2.2159513;Gare SNCF||||1,2##Transport en commun||Ligne U3 - Arrêt Brizeux||0,3##Transport en commun||Ligne Hélyce - Arrêt Hôtel de Ville||0,4##Transport en commun||Ligne Zénibus - Arrêt Tribunal||0,15;;;09 73 16 03 49;;bienvenue@bainpublic.eu;https://www.bainpublic.eu/;;;Bar##Prise électrique##Toilettes;;;;;oui;;;;;Anglais##Français;;non;;;non;Français;Français;;;;oui;;;;;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;oui;||https://www.bainpublic.eu/actualites/||||||bienvenue@bainpublic.eu;;;;47.2763931,-2.2159513;Loire-Atlantique
BALADE EN CALÈCHE A PONEY À L'ÉTANG DU PETIT ANJOU;Formules itinérantes;;;Rue de l'Etang;;49370;VAL D'ERDRE-AUXENCE;;49183;47.5179749;-0.8763869;;En extérieur soleil;06 58 41 30 79;;;luc.bellanger49@orange.fr;;;;;;;;;non;Accompagnement;Equestre;;;Français;;;;;;;;;;;;;;Le Louroux Béconnais;VAL D'ERDRE-AUXENCE;VAL D'ERDRE-AUXENCE;non;02/07/2022||31/08/2022||Balade tous les mercredis de l'été, de 15h à 18h||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;BELLANGER||06 58 41 30 79||luc.bellanger49@orange.fr;;;Tarif indiv. enfant||||||Tarif par enfant jusqu'à 8 ans;non;;47.5179749,-0.8763869;Maine-et-Loire
BALADE EN CALÈCHE AVEC LA CALÈCHE LORÉTAINE;Formules itinérantes;;;;Lieu-dit La Messerie;49370;VAL D'ERDRE-AUXENCE;;49183;47.5196846;-0.9867865;;En extérieur soleil;06 58 41 30 79;;;luc.bellanger49@orange.fr;;;;;;;;;oui;Accompagnement;Equestre;;;Français;;;;;;;;;;;;;;La Cornuaille;VAL D'ERDRE-AUXENCE;VAL D'ERDRE-AUXENCE;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;BELLANGER||06 58 41 30 79||luc.bellanger49@orange.fr;;;Tarif indiv. adulte||5,00||||Tarif selon la prestation et le nombre de personnes##Formule famille||20,00||||Tarif famille selon la prestation;non;Chèques bancaires et postaux##Espèces;47.5196846,-0.9867865;Maine-et-Loire
BALADE RANDONNÉE NAUTIQUE  (ÏLE DUMET, GOELETTE, PIROGUE, KAYAK);;;;3 rue du Port Boucher;;44420;PIRIAC-SUR-MER;;44125;47.38113;-2.54012;;;;02 40 23 53 84;02 40 23 61 14;nautismeenpaysblanc@gmail.com;http://www.npb.asso.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.38113,-2.54012;Loire-Atlantique
BALADES A CHEVAL, COURS OU STAGES AU PONEY CLUB DU LOIR;Centre équestre;;;La Gaugrière;Route de Marcé;49140;SEICHES-SUR-LE-LOIR;;49333;47.57701;-0.36322;;;06 03 55 63 83;;;poneyclubduloir@sfr.fr;http://www.pcduloir.ffe.com;Facebook||http://www.facebook.com/pages/Poney-Club-Du-Loir/143357629041787;;Toilettes;;;;;oui;;;;;Français;;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Mme Gueninchault Nelly||06 03 55 63 83||poneyclubduloir@sfr.fr;;;;non;Cartes bancaires##Chèques bancaires et postaux;47.57701,-0.36322;Maine-et-Loire
BALADES EN MER AVEC LE CHÉRI BIBI;Bateaux promenade;;;Port;;44420;LA TURBALLE;;44211;47.34738;-2.5121;;;;02 40 23 39 87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16/04/2022||30/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.34738,-2.5121;
BALUDIK, L'APPLICATION QUI VOUS EMMÈNE EN BALADE : LA CONFÉRIE DE LA VELUE;Activités sportives et ludiques;15, place de la lice;;;;72400;LA FERTE-BERNARD;;72132;48.185934;0.655979;;;;02 43 71 21 21;;accueil@tourisme-lafertebernard.fr;;;;;;;;;;;;Orientation;;;;;;;;;;;;;;;;;;;;;;;;;oui;;48.185934,0.655979;Sarthe
BALUDIK, L'APPLICATION QUI VOUS EMMÈNE EN BALADE : LA QUÊTE DE LA VELUE;Jeux pour enfants;;;;;72160;TUFFE VAL DE LA CHERONNE;;72363;48.11306;0.51429;;;;02 43 71 21 21;;accueil@tourisme-lafertebernard.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.11306,0.51429;Sarthe
BARQUE ELECTRIQUE;Activités sportives et ludiques;;;Rue Jacques Dessart;;72430;NOYEN-SUR-SARTHE;;72223;47.8731543;-0.0948175;;;06 72 44 38 18;;;contact@capnoyen.fr;https://capnoyen.fr/cap-noyen-228;Facebook||https://www.facebook.com/capnoyen;;;;;;;;Location de matériel;;Bateau électrique;;;;;;;;;;;;;;;;Rivière Sarthe;NOYEN-SUR-SARTHE;NOYEN-SUR-SARTHE;non;01/04/2022||16/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Formule famille||20,00||50,00||- 20€ l'heure,;- 50 € la 1/2 journée";;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.8731543,-0.0948175;Sarthe
BASE DE CANOE KAYAK DE GETIGNE;Base ou club nautique;;;26, rue de Terbin;;44190;GETIGNE;;44063;47.0772383;-1.259909;Aéroport/aérodrome||Nantes Atlantique||35##Autoroute||Montaigu||20##Gare routière||Clisson||4##Gare SNCF||Clisson||4##Route (nationale/départ.)||D149||0,5##Transport en commun||Réseau LILA||1##Gare SNCF||Clisson||5##Autoroute||Montaigu||20##Route (nationale/départ.)||||0##Gare routière||Nantes||35##Transport en commun||CLISSON||5##Aéroport/aérodrome||Nantes||25##Héliport||Nantes||25;;06 71 58 06 83;02 40 54 04 82;;getignecanoekayak@free.fr;http://www.getignecanoekayak.fr;Facebook||##Google+||http://www.plus.google.com/117743621202484291655/about?hl=fr##Facebook||https://www.facebook.com/G%C3%A9tign%C3%A9-Cano%C3%AB-Kayak-121065334902486/##Flickr||https://www.flickr.com/photos/133077744##Tripadvisor||http://www.tripadvisor.fr/Attraction_Review-g1940545-d7009005-Reviews-Getigne_Canoe_Kayak-Getigne_Loire_Atlantique_Pays_de_la_Loire.html##Foursquare||https://fr.foursquare.com/v/g%C3%A9tign%C3%A9-cano%C3%AB-kayak/51151a4c582fdafd0483587a##Google+||https://plus.google.com/+G%C3%A9tign%C3%A9Cano%C3%ABKayak/posts;WiFi;Aire de pique nique##Toilettes;non;;;;oui;;;;;Anglais##Français;;oui;1:00;non;non;Français;Français##Anglais;Pour la pratique nous mettons à disposition tout le matériel de navigation conforme aux normes.La pratique encadrée est destinée en priorité aux centres de loisirs, écoles, colonies, centre aérés.Pour toute demande particulière,, n'hésitez pas à nous consulter.;oui;non;oui;oui;1:00;;;;non;;RICHARD Julien||02 40 54 04 82||getignecanoekayak@free.fr;;;Tarif groupe adulte||||||A partir de 10 personnes;non;Chèques bancaires et postaux##Chèques Vacances;47.0772383,-1.259909;Loire-Atlantique
BASE DE LA RINCERIE - ACTIVITE BLOKART;Activités sportives et ludiques;;Base de loisirs de la Rincerie;;La Hugerie;53800;LA SELLE-CRAONNAISE;;53258;47.863127;-1.0703689;Autoroute||Laval||30##Aéroport/aérodrome||laval||30##Gare SNCF||Laval||30##Transport en commun||Craon||10##Halte fluviale||Château-Gontier et Laval||30;;;02.43.06.17.52;02.43.07.50.20;infos@la-rincerie.com;www.la-rincerie.com;Facebook||https://www.facebook.com/LaRincerie;;;oui;animaux tenus en laisse;;;oui;;;Char à voile;;Anglais##Français;;;;;;;;;;;;;;;;;;;PERINO||02 43 06 17 52||infos@la-rincerie.com;;;;non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances;47.863127,-1.0703689;Mayenne
BASE DE LOISIRS - CAMPING DU BAC MÉNIL;Aire de pique-nique##Base de loisirs##Jeux pour enfants##Loueur de vélos;;;Rue du Port;;53200;MENIL;;53150;47.7748552;-0.6730955;;;;02 43 70 24 54;;campingdubac@orange.fr;;;Espace jeux##Location/prêt de vélo;Aire de pique nique##Toilettes;oui;Tenus en laisse, avec un carnet de vaccination à jour. Chiens de 1ère et 2ème catégories interdits;;;oui;;;;;Français;;;;;;Français;;;;;;;;;;;non;;Camping du Bac||02 43 70 24 54||campingdubac@orange.fr;;;Tarif indiv. adulte||||||1/2 journée de VTC adulte##Tarif indiv. adulte||||||1 journée de VTC adulte##Tarif indiv. adulte||||||Forfait week-end VTC adulte##Tarif indiv. adulte||||||Forfait semaine VTC adulte##Tarif indiv. adulte|||||| Traversée de la Mayenne avec le Bac  (un aller)##Tarif indiv. enfant||||||Traversée de la Mayenne avec le Bac (un aller)##Tarif groupe adulte||||||Traversée de la Mayenne avec le Bac (un aller). Sur résa;non;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances;47.7748552,-0.6730955;Mayenne
BASE DE LOISIRS DE COMBRÉE;Base de loisirs##Plage surveillée;;;;Combrée;49520;OMBRÉE D'ANJOU;;49248;47.7025325;-1.0290967;;En extérieur ombragé##En extérieur soleil;;02 41 95 14 32;;contact@anjousportnature.com;https://anjousportnature.com/infos-pratiques-2/base-de-loisirs-combree-49/;;Bibliothèque##Espace jeux;Aire de pique nique##Bar##Toilettes;;;;;;;;;;Anglais##Français;;oui;;;;;;;oui;;;;;;;;non;25/06/2022||04/09/2022||Baignade surveillée en juin et septembre, les week-ends et jours fériés de 13h30 à 19h, en juillet et août, tous les jours de 13h30 à 19h||Baignade autorisée mais non surveillée le lundi||||||||||||||||||||||||||||||||||||||||||||||||||||||||##04/06/2022||30/06/2022||Base de loisirs ouverte les week-ends et jours fériés de 11h à 20h||||||||||||||||||||||||||||||||||||||||||||11:00||||||20:00||11:00||||||20:00##01/07/2022||31/08/2022||Base de loisirs ouverte tous les jours de 11h à 20h||||11:00||||||20:00||11:00||||||20:00||11:00||||||20:00||11:00||||||20:00||11:00||||||20:00||11:00||||||20:00||11:00||||||20:00##01/09/2022||04/09/2022||Base de loisirs ouverte les week-ends et jours fériés de 11h à 20h||||||||||||||||||||||||||||||||||||||||||||11:00||||||20:00||11:00||||||20:00;;;;;oui;;47.7025325,-1.0290967;Maine-et-Loire
BASE DE LOISIRS DE LA FERTE BERNARD;Aire de pique-nique##Base de loisirs##Base ou club nautique##Boulodrome##Club de plage##Jeux pour enfants##Lac et étang de pêche##Mini golf##Plage surveillée##Rosalie##Terrain omnisports;Avenue du Général de Gaulle;Salle Olympe;;;72400;LA FERTE-BERNARD;;72132;48.1820067;0.64923055;Route (nationale/départ.)||||0,5##Autoroute||A23, sortie La Ferté Bernard||5##Aéroport/aérodrome||Le Mans||40##Gare SNCF||Gare de La Ferté Bernard||1;En extérieur soleil;;02 43 71 04 41;;base.loisirs@lafertebernard.fr;http://www.lafertebernard.fr;;Espace jeux##Location/prêt de vélo;Aire de pique nique##Bar##Toilettes;oui;;;;oui;;;;;Anglais##Français;;;;;;Français;;;;;;;;;;;oui;;;;;;;Chèques bancaires et postaux##Chèques Vacances;48.1820067,0.64923055;Sarthe
BASE DE LOISIRS DE LA RINCERIE;Base de loisirs##Disc Golf##Jeux pour enfants##Lac et étang de pêche##Loueur de vélos##Mini golf;;;671 chemin de l'Etang;;53800;LA SELLE-CRAONNAISE;;53258;47.8438499;-1.0453566;;;;02 43 06 17 52;02 43 07 50 20;accueil@la-rincerie.com;http://www.la-rincerie.com;Facebook||http://www.facebook.com/pages/Base-de-loisirs-de-La-Rincerie/390930767496?id=390930767496&sk=info;Espace jeux##Location/prêt de vélo;Aire de pique nique##Restaurant##Salle de réunion équipée##Toilettes;oui;non acceptés dans les locaux du centre d'hébergement, Animaux tenus en laisse en extérieur;;Déficience auditive##Déficience mentale##Déficience moteur##Déficience visuelle;oui;;;;;Anglais##Français;;;;;;;;;;;;;;;;;oui;;La Rincerie||02 43 06 17 52||infos@la-rincerie.com;;;Tarif indiv. adulte||||||Détails sur www.la-rincerie.com##Tarif indiv. enfant||||||Détails sur www.la-rincerie.com;;Cartes bancaires##Chèques bancaires et postaux##Chèques Vacances##Espèces;47.8438499,-1.0453566;Mayenne
BASE DE LOISIRS SAINT-VIAUD;Base de loisirs##Base ou club nautique##Jeux pour enfants##Lac et étang de pêche##Parc à thèmes##Skatepark##Tennis;;;Base de loisirs;Rue du Parc des Sports;44320;SAINT-VIAUD;;44192;47.25973;-2.01503;;;;;;;http://www.saint-viaud.fr;;;Aire de pique nique;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.25973,-2.01503;Loire-Atlantique
BASE NAUTIQUE DE VILLES MARTIN;Base ou club nautique;;;7 Rue Ferdinand Buisson;;44600;SAINT-NAZAIRE;;44184;47.2564659;-2.2306885;Transport en commun||Ligne U3 - Arrêt Villès Martin||0,4##Transport en commun||Ligne U1 - Arrêt Corvisart||0,85;;;;;;;;;Toilettes;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;non;;47.2564659,-2.2306885;Loire-Atlantique
BATEAU ECOLE - LE MINAHOUET PNEU-NAUTIC;Activités sportives et ludiques;;;12 rue Robert Schuman;;44210;PORNIC;;44131;47.12401;-2.11837;;;;02 40 82 21 69;;minahouet.pornic@free.fr;http://www.pneu-nautic-minahouet.com;;;;;;;;;Cours;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires##Chèques bancaires et postaux##Espèces;47.12401,-2.11837;Loire-Atlantique
BATEAU SANS PERMIS EN FAMILLE;Activités sportives et ludiques;;;;Le Petit Pré;72210;ROEZE-SUR-SARTHE;;72253;47.8915325;0.069219;;En extérieur ombragé;06 52 04 18 72;;;aventurenautique72@gmail.com;https://www.aventurenautique.fr/;Facebook||https://www.facebook.com/espacenautique.moulinsart/?fref=ts##Instagram||https://www.instagram.com/aventurenautique/;;;oui;;;;oui;Location de matériel;;Bateau électrique;;Anglais##Français;;;;;;;;;;;;;;rivière La Sarthe;ROEZE-SUR-SARTHE;ROEZE-SUR-SARTHE;non;16/04/2022||03/07/2022||sur réservation les autres jours||||||||||||||||||||||||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||##01/07/2022||28/08/2022||||||10:00||14:00||||||10:00||14:00||||||10:00||14:00||||||10:00||14:00||||||10:00||14:00||||||10:00||14:00||||||10:00||14:00||||##29/08/2022||02/10/2022||sur réservation les autres jours||||||||||||||||||||||||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||||14:00||18:00||||;;;;"Formule famille||35,00||||Bateau électrique 7 places : 1h/35 €, 2h/60 €, 3h/90€, 1/2j(4h)/120 €, 1j/180 €;##Formule famille||50,00||||Bateau électrique 10 places : 1h/50 €, 2h/86 €, 3h/128 €, 1/2j (4h)/170 €, 1j/ 255 €;";non;Cartes bancaires##Chèques bancaires et postaux;47.8915325,0.069219;Sarthe
BATEAU ÉLECTRIQUE (SCOOP) - HALTE FLUVIALE;Activités sportives et ludiques;;;100 Rue du Vieux Saint-Louis;;53000;LAVAL;;53130;48.0756;-0.77167;;;;02 43 49 46 38;;halte.fluviale@laval-tourisme.com;http://www.laval-tourisme.com/activites/au-fil-de-l-eau/les-loisirs-nautiques;Facebook||https://www.facebook.com/laval.tourisme##Instagram||https://www.instagram.com/laval_tourisme/;;;;;;;;;;Bateau électrique;;Allemand##Anglais##Français;;;;;;;;;;;;;;Laval;Laval;Laval;non;16/04/2022||25/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;Tarif groupe adulte||||50,00||6 personnes 2 heures ##Tarif groupe adulte||||70,00||6 personnes à la demi-journée##Tarif groupe adulte||||95,00||6 personnes à la journée;non;;48.0756,-0.77167;Mayenne
BIBLIOBUS;Bibliothèque-Médiathèque;;;7 avenue Olivier Guichard;;44500;LA BAULE-ESCOUBLAC;;44055;47.2828801;-2.3950233;;;;02 40 24 18 81;;bibliotheque@mairie-labaule.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2020||31/12/2020||Lieu de RDV différent selon les jours||||||||||||||||||||09:30||12:00||||||09:30||12:00||||||||||||||09:30||12:00||||||||||||;;;;;;Chèques bancaires et postaux##Espèces;47.2828801,-2.3950233;Loire-Atlantique
BIBLIOTHEQUE;Bibliothèque-Médiathèque;;;Boulevard Émile Plet;;72230;MULSANNE;;72213;47.91712;0.24841;;;;02 43 39 08 94;;bibliotheque@mulsanne.fr;https://www.mulsanne.fr/vivre-a-mulsanne/loisirs-et-culture/bibliotheque-municipale/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.91712,0.24841;Sarthe
BIBLIOTHEQUE DE PRÉFAILLES;Bibliothèque-Médiathèque;2 RUE DE LA MAIRIE;;2 rue de la Mairie;;44770;PREFAILLES;;44136;47.12886;-2.21337;;;;09 52 56 82 20;;biblioprefailles@free.fr;http://http//biblioprefailles.jimdo.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||30/06/2021||||||16:30||18:00||||||||||||||10:30||12:00||17:30||18:30||||||||||||||||||10:30||12:00||||||||||||##01/07/2021||31/08/2021||||||10:30||12:00||||||10:30||12:00||||||10:30||12:00||20:30||22:00||10:30||12:00||||||10:30||12:00||||||10:30||12:00||||||||||||;;;;;;;47.12886,-2.21337;Loire-Atlantique
BIBLIOTHEQUE LE PLAN D'EAU;Bibliothèque-Médiathèque;;;Place Sainte Victoire;La Sicaudais;44320;CHAUMES-EN-RETZ;;44005;47.18693;-1.94755;;;;07 81 39 11 12;;bibliotheque.la-sicaudais@orange.fr;;;;Parking##Restaurant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.18693,-1.94755;Loire-Atlantique
BIBLIOTHEQUE MAISON POUR TOUS;Bibliothèque-Médiathèque;;;11 Rue de l'Europe;;72650;LA CHAPELLE-SAINT-AUBIN;;72065;48.0336;0.16209;;;;02 43 47 62 64;;bibliotheque@lachapellesaintaubin.fr;http://www.lachapellesaintaubin.fr/vie-associative/la-bibliotheque-municipale/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0336,0.16209;Sarthe
