nom_offre_touristique;type_offre;adresse1;adresse1suite;adresse2;adresse3;code_postal;bureau_distributeur;commune;cedex;code_insee;latitude;longitude;situation_offre;n_mobile;n_fixe;n_fax;email;url_web;url_video;code_embed;type_url;widget_tripadvisor;secteur_activite;labels;label_tourisme_handicap;animal_accepte;information_animal;groupe_accepte;nombre_personnes_max;nombre_personnes_min;langues_acceuil;appellation_vins;degustations_gratuites;salle_equipee;vente_propriete;duree_visite_individuels;duree_visite_groupes;visites_guidees_groupes_permanence;visites_guidees_groupes_sur_demande;visites_libres_groupes_permanence;visites_pedagogiques_groupes_permanence;visites_guidees_individuels_permanence;visites_guidees_individuels_sur_demande;langue_parlee_visites;visites_libres_individuels_permanence;offres_proposees;ouvert_toute_annee;horaires_ouvertures;moyen_reservation_directe;moyen_reservation_en_ligne;centrale_reservation_en_ligne;tarif_gratuit;tarif;modes_paiement;localisation;departement
CHÉVRERIE PATRICE VALLÉE;Fromage et produit laitier;;;Bas Villiers;;72160;;THORIGNE-SUR-DUE;;72358;48.032778;0.499404;;;02 43 76 75 82;;;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.032778,0.499404;Sarthe
LE JARDIN DE LA CORNE;Fruits / légumes;;;La Corne;Ballon;72290;;BALLON-SAINT MARS;;72023;48.1539668;0.2196544;;674192986;;;lejardindelacorne@gmail.com;;;;Facebook||https://www.facebook.com/lejardindelacorne/;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;Français;;;;oui;;;;;;;;;;;;oui;;;;;;;Espèces;48.1539668,0.2196544;Sarthe
STAGE DE PEINTURE AVEC HEBERGEMENT;Peinture;;;Logis de Semur;;72200;;MAREIL-SUR-LOIR;;72185;47.7058921;0.0144776;;776301155;02 43 45 46 84;;herejosy@gmail.com;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;||||Atelier toute l'année sur demande à la journée ou à la 1/2 journée||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Tarif indiv. adulte||80,00||120,00||;;47.7058921,0.0144776;Sarthe
SCEA SYLVIE ET GÉRARD DAGUENET;Fromage et produit laitier;;Ferme de la Forge;;;72120;;SAINTE-CEROTTE;;72272;47.900083;0.68768;;644113810;02 43 35 32 51;;sylviedaguenet72@gmail.com;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.900083,0.68768;Sarthe
NANCY HARRISON - GRAVURE;Enluminure / Calligraphie;2, place de l'église;;;;72320;;MONTMIRAIL;;72208;48.10322;0.79079482;;;02 43 93 35 26;;info@maisonconti.com;http://www.maisonconti.com/;;;;;Artisanat / Art;;;;;;;;"Anglais;Français";;;;;;;;;;;;;"Français;Anglais";;;oui;;;;;;;;48.10322,0.79079482;Sarthe
GÉRARD BAUDRY - CÉRAMISTE;Céramique, faïence, émail;24 rue Cornillière;;;;72120;;SAINT-CALAIS;;72269;47.920883;0.744722;;671325131;02 43 35 07 58;;baudry.gerard@wanadoo.fr;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.920883,0.744722;Sarthe
VINCENT CONARD - PEINTURE POINTILLISME;Peinture;6, rue des Châtaigniers;;;;72400;;BOESSE-LE-SEC;;72038;48.134565;0.563353;;;;;;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.134565,0.563353;Sarthe
LA FERME DU PLESSIS;Volailles / Oeufs;Ferme du Plessis;;;;72120;;SAINTE-CEROTTE;;72272;47.90068;0.69089;;637076147;;;lafermeduplessis72@orange.fr;https://www.facebook.com/lafermeduplessis/;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.90068,0.69089;Sarthe
PATRICK ROSSIGNOL - FROMAGE DE CHÈVRE;Fromage et produit laitier;La Ferme du Hameau;;;;72160;;DUNEAU;;72122;48.0601789;0.5319466;;;02 43 89 08 13;;fromagerie.ledunois@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;Français;;;;oui;;;;;;;;;;;;oui;||||||||10:00||12:30||||||10:00||12:30||||||10:00||12:30||||||10:00||12:30||||||10:00||12:30||||||10:00||12:30||||||10:00||12:30||||;Patrick Rossignol||02 43 89 08 13||;;;;;;48.0601789,0.5319466;Sarthe
PHILIPPE MÉNARD - POTIER;Poterie;La Vigne;;;;72110;;SAINT-DENIS-DES-COUDRAIS;;72277;48.1553475;0.50073314;;;02 43 93 45 37;;menard.ph@gmail.com;http://ceramiquephilippemenard.blogspot.com;;;;;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;;;;oui;;||02 43 93 45 47||;;;;;;48.1553475,0.50073314;Sarthe
EARL DAVID;Fruits / légumes;Les Brosses;;;;72110;;COURCEMONT;;72101;48.17376;0.34917;;;02 43 29 45 79;;earldavid72@laposte.net;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.17376,0.34917;Sarthe
LES PETITES BINETIÈRES;Fruits / légumes;Les Petites Binetières;;;;72320;;SAINT-MAIXENT;;72296;48.09003;0.65505;;619130933;09 63 48 90 99;;gaylordgobillot@orange.fr;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.09003,0.65505;Sarthe
DENIS CANY - VIANDE BOVINE;Viande;Les Renardières;;;;72160;;SCEAUX-SUR-HUISNE;;72331;48.105561;0.586784;;632371455;02 43 71 20 63;;denis.cany@orange.fr;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.105561,0.586784;Sarthe
BICHE JACQUELIN - POTIÈRE;Poterie;Moulin de La Ronce;;;;72320;;CHAMPROND;;72057;48.0789747;0.74691138;;609835737;;;biche.jacquelin@icloud.com;http://www.chevredumoulin.eu/Site_moulin/Bienvenue.html;;;;;Artisanat / Art;;;;;;;;Français;;;;;;;;;;;;;Français;;;oui;||||||||14:45||17:00||||||14:45||17:00||||||14:45||19:00||||||14:45||19:00||||||14:45||17:00||||||14:45||17:00||||||15:00||17:00||||;||06 09 83 57 37||;;;;;;48.0789747,0.74691138;Sarthe
JSD MAROQUINNIER;Maroquinerie;Route de Couleon - La grande Eclèche;;;;72160;;BEILLE;;72031;48.082427;0.510098;;;06 78 86 27 43;;jocelyne.sadet@orange.fr;http://www.jsdmaroquinier.fr/;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.082427,0.510098;Sarthe
FERME DE TESSÉ;Viande;Tessé;;;;72370;;SOULITRE;;72341;48.01152;0.45657;;680712081;;;j.pivron@laposte.net;https://www.facebook.com/groups/2241761785843137/user/1733578759;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.01152,0.45657;Sarthe
FERME LES MEULES FERMIERES;"Pain / Pâtisserie;Viande";Hameau de Verniette;;La Fuie;;72240;;CONLIE;;72089;48.110688;-0.0374682;;;02 43 20 57 02;;contact@lesmeulesfermieres.com;http://www.lesmeulesfermieres.com/;;;Facebook||https://www.facebook.com/lesmeulesfermieres;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;non;;non;;;Français;;;non;oui;;;non;non;non;non;non;non;Français;non;;oui;||||Fournil ouvert le samedi matin ||Fournil fermé en juillet et août||||||||||||||||||||||||||||||||||||||||||11:00||13:00||||||||||||;;||||||02 43 20 57 02||contact@lesmeulesfermieres.com;non;oui;;;48.110688,-0.0374682;Sarthe
LA FROMAGERIE DU ROCHER;Fromage et produit laitier;;;;Le Rocher;72190;;NEUVILLE-SUR-SARTHE;;72217;48.0674255;0.231129;;625481094;;;;;;;Facebook||https://www.facebook.com/Fromage-de-Ch%C3%A8vreEARL-du-Rocher-540370536105770/;;Agriculture / horticulture / Pêche;;;;;oui;;;;;;;oui;;;;;;;;;;;;oui;;;;;oui;;;48.0674255,0.231129;Sarthe
LE PETIT ATELIER DU CUIR;"Bijou;Bourrellerie;Décoration d'intérieur;Maroquinerie";Le Domaine;;;;72160;;TUFFE VAL DE LA CHERONNE;;72363;48.1188105;0.55311758;;;06 81 36 94 94;;yvan@ydlv.fr;www.lepetitalierducuir.fr;https://www.facebook.com/france3pdl/videos/sarthe-dans-latelier-dyvan/485310211952041;;;;Artisanat / Art;Métiers d'art;;;;oui;10;1;"Anglais;Français";;;;;;;oui;oui;non;oui;oui;oui;"Français;Anglais";non;;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";48.1188105,0.55311758;Sarthe
DEL CÉRAMIC;"Art de la table;Céramique, faïence, émail";;;1 Chemin de Grimault;;72170;;SAINT-MARCEAU;;72297;48.1805708;0.1248977;;622451179;;;deldieu@orange.fr;;;;;;Artisanat / Art;;;oui;;oui;10;5;Français;;non;;;;;non;non;oui;non;non;non;"Français;Espagnol";oui;;oui;;MME DIEU||06 22 45 11 79||deldieu@orange.fr;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";48.1805708,0.1248977;Sarthe
LA FERME DE LA GINGLINIÈRE;Fromage et produit laitier;Ferme de la Ginglinière;;;;72160;;SCEAUX-SUR-HUISNE;;72331;48.105561;0.586784;;;06 71 58 94 83;;;;;;;;Agriculture / horticulture / Pêche;;;oui;;oui;10;5;Français;;oui;non;oui;1h00;1h00;non;oui;non;oui;non;oui;Français;non;;oui;||||||||||||||||||||||||14:00||18:00||||||||||||||||||||||10:00||12:00||||||||||||;;;;oui;;"Chèques bancaires et postaux;Espèces";48.105561,0.586784;Sarthe
LE JARDIN D'UN RÊVE;Plantes et fleurs;La Poulainerie;751 route de la Houssaye;;;72460;;SAINT-CORNEILLE;;72275;48.067292;0.344522;;628171537;;;lejardindunreve@orange.fr;https://www.lejardindunreve.fr/;;;Facebook||https://www.facebook.com/lejardindunreve/;;Agriculture / horticulture / Pêche;;;;;oui;15;4;Français;;;;oui;4h00;4h00;;oui;non;oui;;oui;Français;non;;oui;;;;;;"Tarif indiv. adulte||15,00||||10h00 - 17h00 cueillette, vapodistillation, viste guidée jardin, animation autour des plantes;Tarif indiv. enfant||10,00||||10h00 - 17h00 cueillette, vapodistillation, viste guidée jardin, animation autour des plantes;Tarif groupe adulte||200,00||||10h00 - 17h00 cueillette, vapodistillation, viste guidée jardin, animation autour des plantes;Tarif groupe enfant||150,00||||10h00 - 17h00 cueillette, vapodistillation, viste guidée jardin, animation autour des plantes";"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";48.067292,0.344522;Sarthe
GAEC BIO AVENIR;"Fromage et produit laitier;Glace;Viande;Volailles / Oeufs";;;;La Fontaine;72700;;SPAY;;72344;47.92749;0.12982199;;608311189;;;gaecbioavenir@orange.fr;;;;Facebook||https://www.facebook.com/gaecbioavenir/;;Agro-alimentaire;"Agriculture Biologique (AB);Bienvenue à la Ferme";;;;oui;30;;Français;;;oui;oui;;;;;;;non;oui;;;;;01/01/2022||31/12/2022||Ouvert le lundi et le vendredi de 16h00 à 19h00 ||Fermé le lundi en juillet et en août||||||16:00||19:00||||||||||||||||||||||||||||||16:00||19:00||||||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.92749,0.12982199;Sarthe
DOMAINE DE LA GAUDINIERE CLAUDE ET DANIELLE CARTEREAU;Vins;;;;La Gaudinière;72340;;LHOMME;;72161;47.7586247;0.578447;;670690432;02 43 44 55 38;02 43 79 30 68;cartereaucetd@orange.fr;;;;;;Viticulture;;;non;;oui;30;10;Français;"Coteaux du Loir;Jasnières";oui;oui;oui;;1h30;;oui;;;;oui;Français;;;;||||Ouvert toute l'année sur rendez-vous||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;"Chèques bancaires et postaux;Chèques Vacances";47.7586247,0.578447;Sarthe
BOUTIQUE ARTISTES DE 2 MAINS;"Bijou;Décoration d'intérieur;Peinture;Sculpture;Textile / Habillement / Chaussure;Travail du bois";3 Rue Gambetta;;;;72270;;MALICORNE-SUR-SARTHE;;72179;47.8140972;-0.0873702;;;;;artistesde2mains@gmail.com;https://artistesde2mains.fr/;;;"Facebook||https://www.facebook.com/artistesde2mains.fr/;Facebook||https://www.facebook.com/groups/artistesde2mains.fr;Instagram||https://www.instagram.com/artistesde2mains/";;Artisanat / Art;;;non;;oui;5;;;;non;non;oui;;;non;non;oui;non;non;non;;oui;;oui;04/11/2021||31/12/2022||||||||||||||||||||||||||||||09:00||12:30||13:30||18:30||09:00||12:30||13:30||18:30||09:00||12:30||13:30||18:30||||||||;;;;oui;;"Cartes bancaires;Espèces";47.8140972,-0.0873702;Sarthe
VERRERIE D'ART DES COTEAUX;"Art de la table;Bijou;Décoration d'intérieur;Sculpture;Verre";;;27 rue des Coteaux;Poncé sur le Loir;72340;;LOIR EN VALLÉE;;72262;47.7627226;0.6618905;;;02 43 79 05 69;;verreriedescoteaux@gmail.com;http://www.verreriedartdescoteaux.com;;;"Facebook||https://www.facebook.com/verreriedartdes.coteaux;Instagram||https://www.instagram.com/verrerie_d_art_des_coteaux/?hl=fr";;Artisanat / Art;Métiers d'art;;;;oui;50;20;Français;;non;non;oui;45 mn;45mn;;oui;oui;;;oui;Français;oui;;non;01/12/2021||31/12/2022||Le travail du verre se fait l'après-midi. Ouvert les jours fériés 14h à 18h||||||||||||||||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||09:00||12:00||14:00||18:00||||||14:00||18:00;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.7627226,0.6618905;Sarthe
VISITE DES CAVES TROGLOS AU DOMAINE LELAIS;Vins;;;4 Route de Poncé;Ruillé sur Loir;72340;;LOIR EN VALLÉE;;72262;47.7497789;0.620518;;;02 43 79 09 59;;vins@domainelelais.com;http://www.domainelelais.com;;;;;Viticulture;Bienvenue à la Ferme;;oui;;oui;70;10;"Anglais;Français";"Coteaux du Loir;Jasnières";;oui;oui;1h;1h30;oui;oui;non;;non;non;"Français;Anglais";non;;;01/07/2022||31/08/2022||les mardis 11h / jeudis 16h et le 15.08 11h et 16h||Le reste de l'année sur rdv pour les groupes min 10 personnes. En semaine ou le week-end.||||||||||11:00||12:00||||||||||||||||||16:00||17:00||||||||||||||||||||||||;Claire LELAIS||02 43 79 09 59||vins@domainelelais.com;;;oui;Tarif groupe adulte||3,00||5,00||;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.7497789,0.620518;Sarthe
POTERIE DES CHAMPS ROUX;Poterie;;;Les Champs Roux;;72130;;MOULINS-LE-CARBONNEL;;72212;48.379556;-0.026073;"Autoroute||A28 sortie 19 Alençon sud||14;Gare routière||Alençon||15;Gare SNCF||Alençon||15;Route (nationale/départ.)||D338 Alençon Le Mans||10";;02 33 82 67 58;;;;;;;;Artisanat / Art;;;oui;;oui;8;;Français;;non;;oui;;;oui;oui;oui;non;oui;oui;Français;oui;;oui;;M. REMOND||02 33 82 67 58||;;;oui;;Chèques bancaires et postaux;48.379556,-0.026073;Sarthe
FERME DE L'AIGUILLONNIERE;Fromage et produit laitier;;;Route de Laval;L'Aiguillonniere;72300;;SABLE-SUR-SARTHE;;72264;47.8610067;-0.369077;Gare SNCF||Sablé sur Sarthe||3;673209012;;;;http://www.fermedelaiguilloniere.fr;;;"Facebook||https://www.facebook.com/Bodard.ferme.producteur.local;Instagram||https://www.instagram.com/laiguillonniere/";;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;oui;;oui;30;5;Français;;oui;oui;oui;;;;oui;;;oui;oui;Français;non;;oui;01/01/2022||31/12/2022||Tous les jours de 17h30 à 19h30 ou sur RDV||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.8610067,-0.369077;Sarthe
DOMAINE DE BELLIVIERE;Vins;;;Domaine de Bellivière;;72340;;LHOMME;;72161;47.771348;0.55260199;"Route (nationale/départ.)||||1;Autoroute||||30;Gare SNCF||||15;Gare routière||||15";;02 43 44 59 97;;info@belliviere.com;http://www.belliviere.com;;;;;Viticulture;Agriculture Biologique (AB);;oui;;oui;15;;"Anglais;Français";"Coteaux du Loir;Jasnières";oui;oui;oui;1h;1h30;;oui;non;oui;;oui;"Français;Anglais";non;;;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux";47.771348,0.55260199;Sarthe
FERME DU GRAND BRICOIN;Fromage et produit laitier;;;;Bricoin;72160;;THORIGNE-SUR-DUE;;72358;48.034546;0.48829;;671488179;;;;;;;Facebook||https://www.facebook.com/fermedugrandbricoin/;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;;;;;;;;oui;oui;oui;;;;;;;;;;;;oui;;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";48.034546,0.48829;Sarthe
LES P'TITS BIQUOUX;Fromage et produit laitier;;;;L'Aunay;72430;;CHANTENAY-VILLEDIEU;;72059;47.905;-0.1639675;;672277743;06 72 27 77 43;;victorbinois@gmail.com;;;;Facebook||https://www.facebook.com/Les-Ptits-Biquoux-Fromages-de-ch%C3%A8vre-Chantenay-Villedieu-1587147224724847;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2022||31/12/2022||||||||||||||||||||||10:00||12:00||16:00||19:00||||||||||||||16:00||19:00||||||||||||||||;;;;;;;47.905,-0.1639675;Sarthe
LES VERGERS DU PÈRE ERNEST - CIDRE;Produits cidricoles / Jus de fruit;;;;La Borde du Colombier;72390;;DOLLON;;72118;48.044626;0.587024;;;02 43 93 42 10;;;https://cidredesvergersdupereernest.jimdofree.com/;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;Français;;;;oui;;;;;;;;;;;;;;;;;;;;48.044626,0.587024;Sarthe
ISABELLE PERRY ET DAMIEN FIHEY - MARAICHER;Fruits / légumes;;;;La Grande Rivière;72440;;SAINT-MICHEL-DE-CHAVAIGNES;;72303;48.017102;0.55246199;;652789914;02 43 35 81 84;;tiisa94@yahoo.fr;http://leslegumesdelagranderiviere.blogspot.fr/;;;;;Agriculture / horticulture / Pêche;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.017102,0.55246199;Sarthe
PIERRE ZANNI - FERRONNERIE D'ART;"Métal;Sculpture";;;20, rue Château Girard;;72260;;COURGAINS;;72104;48.2907416;0.27586371;;;02 43 34 23 73;;;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.2907416,0.27586371;Sarthe
VENTE DE VIANDE - LA VERDOCHERE;Viande;;;4 La Verdochère;;72510;;SAINT-JEAN-DE-LA-MOTTE;;72291;47.757896;0.06197;;695990343;02 43 45 10 96;;laurent.jousse0891@orange.fr;;;;;;Agriculture / horticulture / Pêche;"Agriculture Biologique (AB);Bienvenue à la Ferme";;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;47.757896,0.06197;Sarthe
ANNE COULON - CÉRAMISTE;Céramique, faïence, émail;;;5 place du Cardinal Dubois;;72120;;SAINT-CALAIS;;72269;47.9214474;0.7454238;;670780466;02 43 35 20 90;;coulon-anne@neuf.fr;www.annecoulon.fr;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.9214474,0.7454238;Sarthe
GAEC DES COURBES;Viande;;;650 chemin des courbes;;72200;;LA FLECHE;;72154;47.691018;-0.095542;;687414178;02 43 45 78 26;;gaecdescourbes1@orange.fr;;;;;;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;;;;;;;;;;oui;;;;;;;;;;;;;;;;;;;;47.691018,-0.095542;Sarthe
BAR A VINS LE JASNIERES;"Art de la table;Confiture;Foie gras;Produits cidricoles / Jus de fruit;Produits du terroir (boutique);Rillettes;Spiritueux;Vins";;;8 place de la république;;72340;;LA CHARTRE-SUR-LE-LOIR;;72068;47.7278281;0.57523979;;;02 43 44 40 44;;lejasniere@orange.fr;http://www.lejasnieres.fr;;;;;Agro-alimentaire;Vignobles et découvertes;;;;;;;;"Coteaux du Loir;Jasnières";non;;;;;;;;;;;;;;oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux";47.7278281,0.57523979;Sarthe
FERME LES CHAMPS;Viande;;;Les Champs;;72240;;RUILLE-EN-CHAMPAGNE;;72261;48.0606063;-0.1385398;;;02 43 88 23 13;;;;;;;;Agro-alimentaire;;;;;;;;Français;;;;;;;;;;;;;Français;;;non;||||||sur réservation uniquement||||||||||||||||||||||||||||||||||||||||||||||||||||||||;"SUET ||02 43 88 23 13||;SUET ||06 76 36 98 86||";;;;;;48.0606063,-0.1385398;Sarthe
VOLAILLES FERMIÈRES;Volailles / Oeufs;;;;La Cellerie;72360;;SARCE;;72327;47.71982;0.219766;;;02 43 79 57 16;;volailles.loyer@gmail.com;www.volailles-loyer.fr;https://www.youtube.com/watch?v=YwoFdwJZtB4;;;[B@13142222;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||14:00||19:00||09:00||12:00||||||||||||;;;;oui;;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.71982,0.219766;Sarthe
LE P'TIT MARCHÉ DE FERCE SUR SARTHE;Produits du terroir (boutique);;;Rue de la mairie;;72430;;FERCE-SUR-SARTHE;;72131;47.9019845;-0.0306724;;;;;calfercesursarthe@gmail.com;https://www.local.direct/le-marche-ferceen;;;Facebook||https://www.facebook.com/calferce;;"Agriculture / horticulture / Pêche;Agro-alimentaire";;;;;;;;;;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||Ouvert : Distribution le mercredi de 18h30 à 19h30||||||||||||||||||||18:30||19:30||||||||||||||||||||||||||||||||||||;;;;oui;;Cartes bancaires;47.9019845,-0.0306724;Sarthe
AUX BONS FROM'TONS;Fromage et produit laitier;2, rue de l'Eguillon;;;;72400;;LA FERTE-BERNARD;;72132;48.1954388;0.6246416;;243608072;06 31 13 01 20;;;https://www.auxbonsfromtons.fr/?fbclid=IwAR3Uxgs-5LBLdADmJKN_aK01mbe6kajXBjjzLcVHrAAt_50owSnc9Ab8pL4;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;||||||||||||||||||||||||10:00||18:00||||||10:00||18:00||||||10:00||18:00||||||10:00||18:00||||||10:00||12:00||||;;;;;;;48.1954388,0.6246416;Sarthe
FRANÇOIS BEZARD - PEINTURE;Peinture;5 rue du Dr Olivier;;;;72120;;SAINT-CALAIS;;72269;47.920883;0.744722;;782033535;;;nicole.bezard@free.fr;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.920883,0.744722;Sarthe
NATUR'AILEMENT;Fruits / légumes;565 chemin du Hérault;;;;72450;;LOMBRON;;72165;48.08014;0.41841;;;;;;https://www.facebook.com/naturailement/about;;;;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.08014,0.41841;Sarthe
BRASSERIE DE MONTMIRAIL;"Bières;Confiserie / chocolat;Spiritueux";9, rue du Docteur Castaing;;;;72320;;MONTMIRAIL;;72208;48.1031507;0.7916148;;;07 83 81 28 80;;n.krafft@gmail.com;https://www.brasseriedemontmirail.com/;;;"Facebook||https://www.facebook.com/brasseriedemontmirail;Instagram||https://www.instagram.com/brasserie_de_montmirail/";;Agro-alimentaire;;;non;;;;;Anglais;;;;;;;;;;;;;;;;oui;||||||||||||||||||||||||||||||||16:00||20:00||||||10:00||13:00||16:00||21:00||10:00||13:00||16:00||20:00||10:00||13:00||||;;;;oui;;"Cartes bancaires;Espèces";48.1031507,0.7916148;Sarthe
L'ASTELLE MONTMIRAIL;Métal;Château de Montmirail;;;;72320;;MONTMIRAIL;;72208;48.103632;0.790768;;;06 35 47 55 72;;;;;;;;Artisanat / Art;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.103632,0.790768;Sarthe
EARL DU TILLEUL;Produits cidricoles / Jus de fruit;La Fontaine;;;;72310;;BESSE-SUR-BRAYE;;72035;47.83321;0.75015;;;02 43 35 59 57;;;;;;;;Agro-alimentaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.83321,0.75015;Sarthe
FERME DE LA FOURCHE;Volailles / Oeufs;La Fourche;;;;72440;;MAISONCELLES;;72178;47.93585;0.5709;;698686224;02 43 63 03 67;;liatas6@yahoo.fr;www.lafermedelafourche.wordpress.com;;;;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.93585,0.5709;Sarthe
LA CHÈVRE-RIE - FROMAGE DE CHÈVRE;Fromage et produit laitier;La Grande Borde;;;;72320;;THELIGNY;;72353;48.175404;0.800529;;;06 33 00 89 24;;coraliehabert@laposte.net;;;;;;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;;;;;;Français;;;;;;;;;;;;;;;;;||||||||||||||||||||||||||||||||||||||||15:00||19:00||||||09:00||12:00||||||||||||;;;;;;;48.175404,0.800529;Sarthe
AUX VIEUX PANIERS;Fruits / légumes;La Jeuillère;;;;72110;;PREVELLES;;72246;48.152352;0.481916;;;06 60 56 03 37;;;;;;;;Agriculture / horticulture / Pêche;;;;;;;;;;;;;;;;;;;;;;;;;||||||||||||||||||||||||||||||||||||||||17:00||19:00||||||||||||||||||||;;;;;;;48.152352,0.481916;Sarthe
LES LÉGUMES DU PÂTIS;Fruits / légumes;Le Pâtis;;;;72320;;BERFAY;;72032;47.99325;0.76418;;672828380;;;angeledaveau@hotmail.fr;https://www.local.bio/producteur/5c7fe9c007217b53e4c7aef5;;;;;Agro-alimentaire;Agriculture Biologique (AB);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.99325,0.76418;Sarthe
MARCHE FERMIER - PRODUCTEURS EN VENTE DIRECTE;"Epices / Condiment;Escargot;Fromage et produit laitier;Fruits / légumes;Fruits de mer;Glace;Huile;Pain / Pâtisserie;Produits apicoles;Produits cidricoles / Jus de fruit;Rillettes;Salaisons;Viande;Vins;Volailles / Oeufs";Place du Général de Gaulle;;;;72400;;LA FERTE-BERNARD;;72132;48.1844419;0.64656067;;;06 83 13 84 65;;marchefermier@ideeweb.org;;;;;;Agriculture / horticulture / Pêche;;;;;;;;Français;"Coteaux d'Ancenis;Coteaux du Loir;Jasnières";;non;oui;;;;;;non;non;non;"Français;Anglais";non;;oui;||||||||||||||||||||||||||||||||||||||||09:00||13:30||14:30||19:00||||||||||||||||;;;;;;;48.1844419,0.64656067;Sarthe
LES PETITS POTS DE CHRISTINE;Confiture;;;;Notres dame des champs;72380;;SAINT-JEAN-D'ASSE;;72290;48.143365;0.12303;;;;;;;;;"Facebook||https://www.facebook.com/lespetitspotsdechristine/;Instagram||https://www.instagram.com/les.petits.pots.de.christine/?hl=fr";;Agro-alimentaire;;;;;non;;;;;;;;;;non;non;non;non;non;non;;non;Proposition clientèle||DEGPDL072V50N50G;;;;;;;;"Chèques bancaires et postaux;Espèces";48.143365,0.12303;Sarthe
LES VERGERS D AULAINES;"Confiture;Fruits / légumes;Produits cidricoles / Jus de fruit";;;;Les Blottières;72110;;BONNETABLE;;72039;48.1704788;0.43954116;;631287566;02 43 29 19 45;;les.vergers.daulaines@orange.fr;http://www.lesvergersdaulaines.com/;;;;;Agriculture / horticulture / Pêche;Bienvenue à la Ferme;;;;oui;;;Français;;;;oui;;;;oui;;;;;Français;;;oui;;;;;;;;48.1704788,0.43954116;Sarthe
