nom_fete_ou_manifestation;categorie;adresse1;adresse1suite;adresse2;adresse3;code_postal;commune;bureau_distributeur;cedex;code_insee;latitude;longitude;point_acces_distance;n_fixe;n_mobile;n_fax;email;url_web;type_url;url_video;public_concerne_offre;widget_tripadvisor;code_embed;periodicite_manifestation;precision_periodicite;label_tourisme_handicap;duree_visite_individuels;visites_libres_individuels_permanence;visites_guidees_individuels_sur_demande;visites_guidees_individuels_permanence;visites_guidees_groupes_sur_demande;visites_guidees_groupes_permanence;visites_guidees_groupes_permanence_2;duree_visite_groupes;visites_pedagogiques_groupes_permanence;langues;langues_audio;horaires_ouvertures;tarifs_annee_proposes;tarif_gratuit;moyens_reservation_directe;centrale_reservation_en_ligne;moyens_reservation_en_ligne;modes_paiement;localisation;departement
CONCOURS DE PETANQUE;Manifestation sportive;Terrain communal;;;;72390;BOUER;;;72041;48.08222;0.63019;;;;;;https://www.facebook.com/bouerloisirs/;;;;;;;;;;;;;;;;;;;;;;;;;;;48.08222,0.63019;Sarthe
CONFeRENCE :  FAITES PLACE ! » PERSPECTIVES FeMINISTES DANS LE PARTAGE DE L’ESPACE;Conference;Le Mans Universite;Amphitheatre Mersenne (Lettres);;;72000;LE MANS;;;72181;48.01701;0.15179;;;;;egalite_femmes_hommes@univ_lemans.fr;univ_lemans.fr;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.01701,0.15179;Sarthe
DOMAINE LELAIS : VISITE DE CAVES ET DeGUSTATION;Visites et sorties a themes;41 ROUTE DE PONCE;Ruille sur Loir;;;72340;Ruille_sur_Loir;;;72262;47.7565388;0.64296157;;243790959;;;;;;;;;;Annuel;"MOIS DE JUILLET ET AOÛT:;;LES MARDIS => 11H;;LES JEUDIS => 16H;;LE 14 JUILLET ET  LE 15 AOÛT => 11H  ET 16H";;30min;;;;oui;non;oui;1h30;oui;Français,Anglais;;;"Tarif groupe adulte||3,00||||la degustation et vente de vin est en acces libre tous les jours au domaine.;Les visites de caves + degustation des mois de Juillet et Août sont gratuites.;Les visites de caves pour les groupes ont un coût de 3 euros par personne.";oui;Francine LELAIS||02 43 79 09 59||vins@domainelelais.com;;;Cartes bancaires,Cheques bancaires et postaux,Especes;47.7565388,0.64296157;Sarthe
DeCOUVERTE : QUE RESTE T_IL DES CHEMINS DE FER _AUTREFOIS EN PERCHE SARTHOIS?;Visites et sorties a themes;La gare;;;;72320;VIBRAYE;;;72373;48.064387;0.72797638;;02 43 35 82 95;;;;;;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||28,00||||;;;;;Cheques bancaires et postaux,Especes;48.064387,0.72797638;Sarthe
EKI'GESNES;Manifestation sportive;;;39 Grande Rue;;72130;GESNES_LE_GANDELIN;;;72141;48.3553298;0.01929961;;;;;;;Facebook||https://www.facebook.com/lafouleegesnoise;;;;;Annuel;;;;;;;;;;;;;;;;non;;;;;48.3553298,0.01929961;Sarthe
EN QUeTE _eTOILES !;Sortie nature / environnement;Eglise de Chasse;;;;72600;VILLENEUVE_EN_PERSEIGNE;;;72137;48.44779;0.25405;;233811333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.44779,0.25405;Sarthe
ESCALE _ OBSERVATION _INSECTES;Stages_Atelier_Jeux;;Abbaye Royale de _Epau;Route de Change;;72530;YVRE _EVEQUE;;;72181;47.9839581;0.2506153;Route (nationale/depart.)||||,Transport en commun||||,Gare SNCF||||,Autoroute||||;02 43 84 22 29;;;epau.accueil@sarthe.fr;http://epau.sarthe.fr/nos_offres_pour_la_famille;Facebook||https://fr_fr.facebook.com/AbbayeRoyaledelEpau/,Instagram||https://www.instagram.com/abbayeroyaledelepau_/?hl=fr;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||5,50||||,Tarif indiv. enfant||3,00||||10_17 ans,Tarif indiv. enfant||2,00||||_ 10 ans;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.9839581,0.2506153;Sarthe
ESCAPE GAME;Stages_Atelier_Jeux;Place de _eglise;;;;72390;DOLLON;;;72118;48.03857;0.5867;;02 43 35 82 95;;;;;;;;;;;Ouvert a tous. Gratuit;;;;;;;;;;;;;;;oui;;;;;48.03857,0.5867;Sarthe
EXPOSITION LA SeVE ET LE VENT DE JACQUES MOISAN;Exposition;;Galerie _arTmature;12 Place Thiers;;72130;FRESNAY_SUR_SARTHE;;;72138;48.2810764;0.01959198;;;06 67 48 28 56;;;http://www.lartmature.com/;Facebook||https://www.facebook.com/artmature72/;;;;;Ponctuel;;;;oui;;;;oui;;;;;;;;oui;;;;;48.2810764,0.01959198;Sarthe
EXPOSITION LES FRESNO’FOLIES;Exposition;;;Grande Rue;;72130;FRESNAY_SUR_SARTHE;;;72138;48.2812984;0.02073014;;02 43 33 28 04;;;contact@tourisme_alpesmancelles.fr;;Facebook||https://www.facebook.com/Fresnaysarthe/,Instagram||https://www.instagram.com/fresnaysursarthe/;;;;;Annuel;;;;oui;;;;oui;;;;;;;;oui;;;;;48.2812984,0.02073014;Sarthe
EXPOSITION ARGILE, CHOUETTES ET COMPAGNIE;Exposition;;Salle _exposition _ Jardin Potager;1 rue _Isly;;72110;BONNETABLE;;;72039;48.1745905;0.42289968;;02 43 97 60 63;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.1745905,0.42289968;Sarthe
EXPOSITION ARTISTES DE 2 MAINS EN HOMMAGE a MONSIEUR TERLAIN;Exposition;;;3 rue gambetta;;72270;MALICORNE_SUR_SARTHE;;;72179;47.8142442;_0.0874124;;;06 82 43 06 54;;artistesde2mains@gmail.com;;;;;;;Ponctuel;exceptionnelle;;20 minutes;oui;oui;oui;oui;oui;oui;;oui;Français,Italien;;;;oui;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;47.8142442,_0.0874124;Sarthe
EXPOSITION PLUMES DE NUIT ET AUTRES OISEAUX;Exposition;;salle _exposition _ Jardin Potager;1 rue _Isly;;72110;BONNETABLE;;;72039;48.174705;0.42311426;;02 43 97 60 63;;;;;;;;;;;;;;;;;;;;;;Français;;;;oui;;;;;48.174705,0.42311426;Sarthe
EXPOSITION TEMPORAIRE LES ARBRES SeMENT PAR PAUL CORBINEAU;Exposition;Carnuta,;Maison de _Homme et de la foret;2 Rue du bourg ancien;;72500;JUPILLES;;;72153;47.7904794;0.41332873;;02 43  38 10 31;;;accueil.carnuta@loirluceberce.fr;http://www.carnuta.fr;;;;;;;;;;;;;;;;;;Français;Allemand,Anglais,Espagnol,Français;;"Tarif indiv. adulte||6,00||6,00||Ce tarif comprend egalement la visite de _exposition permanente de Carnuta.,Tarif indiv. enfant||3,50||3,50||3,50€ pour les 7_18 ans.;Gratuit pour les moins de 7 ans.;Ce tarif comprend egalement la visite de _exposition permanente de Carnuta.,Tarif indiv. reduit||3,50||3,50||Abonne, etudiant, personne en situation de handicap, demandeur _emploi : sous presentation _un justificatif. ;Ce tarif comprend egalement la visite de _exposition permanente de Carnuta.";;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.7904794,0.41332873;Sarthe
EXPOSITION  STREET ART, DU GRAFFITI AUX INSTALLATIONS »;Exposition;Mediatheque Jean d’Ormesson;;;;72400;LA FERTE_BERNARD;;;72132;48.183824;0.65155227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.183824,0.65155227;Sarthe
FESTIVAL DES 3 TAMBOURS;Festival;Centre Musical de Roussigny;;Lieu_dit Roussigny;;72320;SAINT_ULPHACE;;;72322;48.1651;0.84445;;;;;;https://roussigny.wixsite.com/festival3tambours;Facebook||https://www.facebook.com/stulphace;;;;;Annuel;;;;;;;;;;;;;;;;;;;;;48.1651,0.84445;Sarthe
FEU _ARTIFICE;Feux _artifice;;;;;72210;LA SUZE_SUR_SARTHE;;;72346;47.8900147;0.0296739;;02 43 77 30 49;;;contact@lasuze.fr;http://www.lasuze.fr;;;;;;Annuel;;;;;;;;;;;;;;;;oui;;;;;47.8900147,0.0296739;Sarthe
LA NATURE ET NOUS : LES ANIMAUX VeNIMEUX;Conference;;Salle Charles Trenet;67, rue Alfred de Vigny;;72000;LE MANS;;;72181;48.018707;0.17607129;;02 43 86 21 09;;;;http://www.jacques_bouillault.com;;;;;;Ponctuel;;;;;;;;;;;;;;;;;;;;;48.018707,0.17607129;Sarthe
13eME RANDO CULT' PeDESTRE a LA JOURNeE;Randonnee;Pont Romain;;;;72450;MONTFORT_LE_GESNOIS;;;72241;48.0482299;0.419952;;02 43 60 72 77;;;perche_sarthois@orange.fr;;;;;;;;;;;;;;;;;;;;;;;;Pays du Perche Sarthois||02 43 60 72 77||perche_sarthois@orange.fr;;;;48.0482299,0.419952;Sarthe
17eME RASSEMBLEMENT DE VOITURES ANCIENNES ET COLLECTION;Visites et sorties a themes;;Terrain de la Tour;Rue de la Liberation;;72610;BOURG_LE_ROI;;;72043;48.3428591;0.13580222;;02 33 26 98 53;;;lafosse_gerard@wanadoo.fr;http://bourgleroi_animation_patrimoine.fr;;;;;;Annuel;;;;;;;;;;;;;;;;oui;;;;;48.3428591,0.13580222;Sarthe
23eME FESTIVAL DES MeTIERS _ART, MeTIERS ANCIENS & COLLECTIONS;Festival;;;Aire de loisirs des Boucles de la Sarthe;;72130;SAINT_LEONARD_DES_BOIS;;;72294;48.3504738;_0.0777086;;;06 74 92 38 36;;;https://www.lesamisdesaintleonard.org/;;;;;;Annuel;;;;;;;;;;;;;;;Tarif indiv. enfant||4,00||||Gratuit pour les moins de 12 ans.;non;M. BOUTON||06 74 92 38 36||boutonjacky@hotmail.fr;;;;48.3504738,_0.0777086;Sarthe
5 ANS... THE SHOW !;Concert;;Les Saulnieres;239, avenue Rhin et Danube;;72000;LE MANS;;;72181;48.0203107;0.1831846;;;07 78 11 64 05;;contact@sistaflow.com;www.sistaflow.com;Facebook||https://www.facebook.com/sistaflow72;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||15,00||15,00||;non;;;;Cartes bancaires,Especes;48.0203107,0.1831846;Sarthe
[REPORTe] LES BODIN'S GRANDEUR NATURE;Spectacle;;Antares;2 Avenue Antares;;72100;LE MANS;;;72181;47.956751;0.226448;Transport en commun||Tramway T1 _ Terminus Antares/MMArena||0,1;09 70 25 22 12;;;service_clients@myticket.fr;https://www.antareslemans.com/evenement/les_bodins/;Facebook||https://www.facebook.com/salle.antares/,Instagram||https://www.instagram.com/antares_le_mans/,Twitter||https://twitter.com/AntaresLeMans;;;;;Ponctuel;;;;;;;;;;;;;;;"Tarif indiv. adulte||||||Tarifs (assis numerote) :;> Cat1 : Public 55 € / CE 50 €;> Cat2 : Public 45 € / CE 42 €;> Enfants –12ans : 35 €;;Reservations CE et PMR : 02 43 84 67 00";non;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;47.956751,0.226448;Sarthe
[REPORTe] TANGUY PASTUREAU;Spectacle;;Palais des Congres et de la Culture;Rue _Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;;;;;http://www.jesorsaumans.com;;https://youtu.be/6J0nvA4lF4E;;;;Ponctuel;;;;;;;;;;;;;;;;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances;48.0007657,0.19202859;Sarthe
AMZIK;Concert;;Le Rabelais;1 Place Victor Hugo;;72560;CHANGE;;;72058;47.98584;0.28348;;;;;accueil@lerabelais.org;;;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||12,00||||,Tarif abonne||10,00||||,Tarif indiv. reduit||8,00||||;;;;;;47.98584,0.28348;Sarthe
ATELIER CReATION : SONGWRITING AVEC TEENAGE BED;Stages_Atelier_Jeux;;Le Silo;27 Rue François Monnier;;72100;LE MANS;;;72181;47.95303;0.18665;;;;;;https://superforma.fr/agenda/atelier_creation_songwriting_avec_teenage_bed;Facebook||https://www.facebook.com/hellosuperforma;;;;;Ponctuel;;;;;;;;;;;;;;;Tarif indiv. adulte||25,00||40,00||;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.95303,0.18665;Sarthe
ATELIER YOGA PARENTS_ENFANTS;Stages_Atelier_Jeux;;Association Spirales _ Centre Beaulieu;176 Avenue François Chancel;;72000;LE MANS;;;72181;48.0185765;0.1931185;;;;;peggyoga72@gmail.com;;;;;;;Ponctuel;;;;;;;;;;;;;;;;non;;;;;48.0185765,0.1931185;Sarthe
BALADE COMMENTeE;Visites et sorties a themes;Eglise;La gare;;;72120;CONFLANS_SUR_ANILLE;;;72087;47.945088;0.745677;;02 43 60 76 89;;;;;;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||||8,00||visite et concert;;;;;Cheques bancaires et postaux,Especes;47.945088,0.745677;Sarthe
BRIC a BRAC;Brocantes & vide_greniers;Terrain Salle Polyvalente;;;;72160;LA CHAPELLE_SAINT_REMY;;;72067;48.093372;0.466151;;02 43 93 46 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.093372,0.466151;Sarthe
CARNAVAL;Fetes populaires;;;Place Carnot;;72600;MAMERS;;;72180;48.3503968;0.3695235;;02 43 31 50 00;;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.3503968,0.3695235;Sarthe
CASTING N'OUBLIEZ PAS LES PAROLES;Stages_Atelier_Jeux;;;;;72000;LE MANS;;;72181;48.0157803;0.1609266;;01 49 17 84 20;;;;http://www.inscription.noplp.tv;Facebook||https://www.facebook.com/castingnoplp/;;;;;;;;;;;;;;;;;;;;;;;;;;48.0157803,0.1609266;Sarthe
CENTENAIRE DE LA COURSE DU BIDON DE 5 L;Visites et sorties a themes;en ville;;;;72400;LA FERTE_BERNARD;;;72132;48.180472;0.642277;;02 43 71 40 22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.180472,0.642277;Sarthe
CLARA LUCIANI;Spectacle;;Antares;2 Avenue Antares;;72100;LE MANS;;;72181;47.956751;0.226448;Transport en commun||Tramway T1 _ Terminus Antares/MMArena||0,1;;;;;https://www.antareslemans.com/evenement/clara_luciani_2/;Facebook||https://www.facebook.com/salle.antares/,Instagram||https://www.instagram.com/antares_le_mans/,Twitter||https://twitter.com/AntaresLeMans;;;;;Ponctuel;;;;;;;;;;;;;;;;non;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;47.956751,0.226448;Sarthe
CLASSIC DAYS;Manifestation sportive;;Circuit Bugatti;9, Place Luigi Chinetti;;72000;LE MANS;;;72181;47.9562418;0.20774249;;05 55 25 27 26;;;inscription@classic_days.fr;https://classic_days.fr/;Facebook||https://www.facebook.com/ClassicDaysOfficiel/,Instagram||https://www.instagram.com/classicdaysofficiel/;;;;;;;;;;;;;;;;;;;;"Tarif indiv. adulte||||||19€ la journee / 27€ les deux jours (en prevente);30€ la journee / 40€ les deux jours (sur place);;Gratuit pour les _ 16 ans.";non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances;47.9562418,0.20774249;Sarthe
COMPLET _ RANDONNeE GOURMANDE ENTRE RIVIeRE ET RUISSEAUX;Randonnee;;Salle Bizot;5 Rue des Celliers;;72130;ASSE_LE_BOISNE;;;72011;48.3243695;_0.0044413;;;06 89 71 58 37;;;;;;;;;Annuel;;;;;;;;;;;;;;;Tarif indiv. adulte||16,00||||,Tarif indiv. enfant||8,00||||;non;;;;;48.3243695,_0.0044413;Sarthe
CONCERT;Concert;eglise;;;;72440;SAINT_MICHEL_DE_CHAVAIGNES;;;72303;48.018492;0.569188;;;06 84 30 90 35;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.018492,0.569188;Sarthe
CONCERT;Concert;Quai des Arts;;;;72320;VIBRAYE;;;72373;48.0647605;0.72736479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;48.0647605,0.72736479;Sarthe
CONCERT DE LA SAINTE_CeCILE;Concert;La Passerelle;;;;72160;CONNERRE;;;72090;48.060283;0.493572;;;06 86 40 99 19;;;;;;;;;;;;;;;;;;;;;;;;||5,00||||Gratuit _18ans;;;;;;48.060283,0.493572;Sarthe
CONCERT DES ENSEMBLES DE _ECOLE DE MUSIQUE;Concert;Salle Athena, avenue General de Gaulle;;;;72400;LA FERTE_BERNARD;;;72132;48.1830043;0.64961552;;02 43 93 67 92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1830043,0.64961552;Sarthe
CONCOURS DE PeTANQUE;Manifestation sportive;Boulodrome;;;;72450;LOMBRON;;;72165;48.080236;0.416376;;;06 12 49 60 94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.080236,0.416376;Sarthe
COURSES HIPPIQUES DU PERCHE SARTHOIS;Manifestation sportive;Hippodrome du Perche Sarthois;;;;72320;MONTMIRAIL;;;72208;48.103424;0.790229;;06 12 05 69 69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.103424,0.790229;Sarthe
DIMANCHE DE CARACTeRE _ DANS LES PAS DE PAUL LEBART;Visites et sorties a themes;;;50 place CArnot;;72600;MAMERS;;;72180;48.3508664;0.3694381;Route (nationale/depart.)||D311||1;243976063;;;contact@tourisme_maine_saosnois.com;https://www.tourisme_maine_saosnois.com/;;https://www.youtube.com/watch?v=_w_uZOYmM5U;;;;Ponctuel;;;1h30;;;oui;;;oui;;;Français;;;;oui;office de Tourisme||02 43 97 60 63||contact@tourisme_maine_saosnois.com;;;;48.3508664,0.3694381;Sarthe
ESCALE _ COURONNE DE NOËL;Stages_Atelier_Jeux;;Abbaye Royale de _Epau;Route de Change;;72530;YVRE _EVEQUE;;;72181;47.9839581;0.2506153;Route (nationale/depart.)||||,Transport en commun||||,Autoroute||||,Gare SNCF||||;02 43 84 22 29;;;epau.accueil@sarthe.fr;http://epau.sarthe.fr/nos_offres_pour_la_famille;Facebook||https://fr_fr.facebook.com/AbbayeRoyaledelEpau/,Instagram||https://www.instagram.com/abbayeroyaledelepau_/?hl=fr;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||5,50||||,Tarif indiv. enfant||3,00||||10_17 ans,Tarif indiv. enfant||2,00||||_ 10 ans;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.9839581,0.2506153;Sarthe
ESCALE _ TAILLEUR DE PIERRE;Stages_Atelier_Jeux;;Abbaye Royale de _Epau;Route de Change;;72530;YVRE _EVEQUE;;;72181;47.9839581;0.2506153;Autoroute||||,Gare SNCF||||,Route (nationale/depart.)||||;02 43 84 22 29;;;epau.accueil@sarthe.fr;http://epau.sarthe.fr/nos_offres_pour_la_famille;Facebook||https://fr_fr.facebook.com/AbbayeRoyaledelEpau/,Instagram||https://www.instagram.com/abbayeroyaledelepau_/?hl=fr;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||5,50||||,Tarif indiv. enfant||3,00||||10_17 ans,Tarif indiv. enfant||2,00||||_10 ans;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances,Especes;47.9839581,0.2506153;Sarthe
EXPOSITION FANTAISIES VeGeTALES;Exposition;;Dans le Pigeonnier;Lieu_dit Domaine du Gasseau;;72130;SAINT_LEONARD_DES_BOIS;;;72294;48.3599165;_0.0775099;;02 43 34 34 44;;;legasseau@cchautesarthealpesmancelles.fr;https://www.cchautesarthealpesmancelles.fr/tourisme/gasseau/;Facebook||https://www.facebook.com/Gasseau72/;;;;;;;;;oui;;;;oui;;;;;;;;oui;;;;;48.3599165,_0.0775099;Sarthe
EXPOSITION LE DESTIN DES HOMMES DE GeRARD RANCINAN;Exposition;;Prieure de Vivoin;1 Place des Tilleuls;;72170;VIVOIN;;;72380;48.23373;0.15633;;09 70 37 24 14;;;contact@prieure_de_vivoin.fr;https://prieure_de_vivoin.fr/;Facebook||https://www.facebook.com/Prieure.de.Vivoin,Instagram||https://www.instagram.com/prieure_de_vivoin/;;;;;;;;Entre 1h et 2h;oui;non;non;oui;oui;oui;1h15;oui;Français;;;Tarif indiv. adulte||||7,00||Tarif droit _entree ,Tarif indiv. enfant||||3,50||Tarif droit _entree ,Tarif indiv. reduit||||3,50||Tarif droit _entree ,Tarif groupe adulte||||5,00||Tarif droit _entree ,Tarif groupe enfant||||2,50||Tarif droit _entree;non;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;48.23373,0.15633;Sarthe
EXPOSITION : LES 600 ANS DE LA NAISSANCE DE MOLIeRE;Exposition;1er etage Halles Denis Bealet;;;;72400;LA FERTE_BERNARD;;;72132;48.1850759;0.65403063;;06 15 68 32 08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1850759,0.65403063;Sarthe
EXPOSITION PEINTURE ET MOSAÏQUE DE MARTINE LUSSIANA _ LE REGARD DE _HOMME a _ANIMAL;Exposition;Office de Tourisme Maine Saosnois;;50 Place Carnot;;72600;MAMERS;;;72180;48.3508557;0.36954801;Route (nationale/depart.)||D311||1;;02 43 97 60 63;;;;;;;;;;;;;;;;;;;;non;;;;;oui;;;;;48.3508557,0.36954801;Sarthe
EXPOSITION PEINTURES DES LOINTAINS _ LA COLLECTION DU MUSeE DU QUAI BRANLY _ JACQUES CHIRAC;Exposition;;Musee de Tesse;2 Avenue de Paderborn;;72000;LE MANS;;;72181;48.01082;0.20417;;02.43.47.38.51;;;musees@lemans.fr;www.lemans.fr/musees;Facebook||https://www.facebook.com/museesdumans ,Instagram||https://www.instagram.com/museesdumans/ ,Twitter||https://twitter.com/musees_lemans?lang=fr;https://www.youtube.com/watch?v=j9sZnxgZycY;;;;Ponctuel;;;1h;oui;;;;oui;;1;;Français;;;;oui;;;;;48.01082,0.20417;Sarthe
FETE DU JARDIN ET DE LA FERME;Fetes populaires;;Maison de la prairie;Arche de la Nature;;72530;YVRE__EVEQUE;;;72386;47.9975296;0.25494907;;;;;archedelanature@lemans.fr;http://www.arche_nature.fr;Facebook||https://www.facebook.com/pages/Arche_de_la_Nature/352666348124326;;;;;Ponctuel;Maison de la Prairie, de 14h a 18h;;;oui;;;;oui;;;;;;;;oui;;;;;47.9975296,0.25494907;Sarthe
FEU _ARTIFICE;Feux _artifice;;;;;72370;ARDENAY_SUR_MERIZE;;;72007;47.994947;0.42314799;;02 43 89 87 25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.994947,0.42314799;Sarthe
FOIRE DU MANS;Foire ou salon;;Centre des Expositions;1, avenue du Parc des Expositions;;72100;LE MANS;;;72181;47.9567918;0.20346599;;02 43 72 51 00;;;cem@lemans_centrexpos.com;https://www.foiredumans.com;Facebook||https://www.facebook.com/foiredumans/;;;;;Annuel;;;;;;;;;;;;;;;"Tarif indiv. adulte||5,50||5,50||Plein tarif : Du Vendredi au dimanche : 5,50 € ;Chômeurs, Etudiants : tarif reduit 3,50 € ;Gratuit jusqu’a 12 ans et personnes a mobilite reduite ;Entree gratuite Jeudi – lundi  ,Tarif indiv. reduit||3,50||3,50||Plein tarif : Du Vendredi au dimanche : 5,50 € ;Chômeurs, Etudiants : tarif reduit 3,50 € ;Gratuit jusqu’a 12 ans et personnes a mobilite reduite ;Entree gratuite Jeudi – lundi";non;;;;;47.9567918,0.20346599;Sarthe
FeTE DE LA MUSIQUE;Manifestation Nationale;Centre bourg;;;;72440;TRESSON;;;72361;47.90348;0.57453;;;06 17 48 40 01;;faitesatresson@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.90348,0.57453;Sarthe
FeTE DE LE PeCHE DANS _eTANG;Manifestation sportive;;;;;72460;SAVIGNE__EVEQUE;;;72329;48.076935;0.300514;;;06 71 43 05 62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.076935,0.300514;Sarthe
FeTE DES MAMANS;Stages_Atelier_Jeux;Salle Adrien MARTIN;;;;72320;GREEZ_SUR_ROC;;;72144;48.13784;0.79544;;07 67 59 16 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.13784,0.79544;Sarthe
FeTE DES eCOLES;Fetes populaires;parc de la mairie;;;;72460;SAVIGNE__EVEQUE;;;72329;48.076935;0.300514;;;644022487;;;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;48.076935,0.300514;Sarthe
GOLDMEN;Concert;;Palais des Congres et de la Culture;Rue _Arcole;;72000;LE MANS;;;72181;48.0007657;0.19202859;;02 43 43 59 59;;;;https://www.lemans_evenements.fr/evenement/goldmen_tribute_100_goldman/;;;;;;Ponctuel;;;;;;;;;;;;;;;"Tarif indiv. adulte||34,00||44,00|| Cat.1: 44€;Cat.2: 39€;Cat.3: 34€";non;;oui;||https://www.lemans_evenements.fr/evenement/goldmen_tribute_100_goldman/||||||;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances;48.0007657,0.19202859;Sarthe
GOURMANDISES DE ST DENIS;Visites et sorties a themes;;;;;72110;SAINT_DENIS_DES_COUDRAIS;;;72277;48.15094;0.50667;;;;;;https://fr_fr.facebook.com/StDenisEnFete;;;;;;;;;;;;;;;;;;;;;;;;;;;48.15094,0.50667;Sarthe
HLM;Theatre;;;11 Rue du Moulin de Chaoue;;72700;ALLONNES;;;72003;47.97139;0.16571;;02 43 80 40 08;;;contact@theatredechaoue.fr;https://www.theatredechaoue.fr/la_programmation/mai/;;;;;;;;;;;;;;;;;;;;;;;;;;;47.97139,0.16571;Sarthe
INSTABLE ~ LES HOMMES PENCHeS;Spectacle;Rue de la Piscine;;;;72300;PRECIGNE;;;72244;47.76934;_0.32558;;02 43 62 22 22;;;billetterie@lentracte_sable.fr;www.lentracte_sable.fr;;;;;;;;;;;;;;;;;;;;;;oui;;;;;47.76934,_0.32558;Sarthe
JEU DE PISTE ZOO DE PESCHERAY;Sortie nature / environnement;Domaine de Pescheray;;;;72370;LE BREIL_SUR_MERIZE;;;72046;47.993813;0.50155516;;02 43 89 86 04;;;info@pescheray.com;www.pescheray.com;;;;;;Ponctuel;;;3h00;oui;;;;;;;;;;;;non;;;;Cartes bancaires,Cheques bancaires et postaux,Cheques Vacances;47.993813,0.50155516;Sarthe
JOURNeE DU PATRIMOINE DE PAYS ET DES MOULINS _ MOULIN DE MONTCHeNOU;Manifestation Nationale;;;;;72310;VANCE;;;72368;47.8302394;0.64659392;;;06 08 46 88 45;;;;;;;;;Ponctuel;;;;;;;;;;;;;;;;;;;;;47.8302394,0.64659392;Sarthe
JOURNeE DU PATRIMOINE DE PAYS ET JOURNeE DES MOULINS, eDITION 2022;Manifestation Nationale;;;;;72120;SAINT_CALAIS;;;72269;47.9203727;0.74312925;;02 43 35 82 95;;;;;;;;;;Ponctuel;;;;;;;;;;;;Français;;;Tarif indiv. adulte||25,00||||;non;;;;Cartes bancaires,Cheques bancaires et postaux,Especes;47.9203727,0.74312925;Sarthe
JOURNeE ReTRO;Fetes populaires;;salle du temps libre;;;72210;LOUPLANDE;;;72169;47.94437;0.04677;;;620960571;;;;;;;;;;;;;;;;;;;;;;;;Tarif indiv. adulte||5,00||5,00||,Tarif indiv. enfant||0,00||5,00||Gratuit moins de 6 ans;;;;;;47.94437,0.04677;Sarthe
JOURNeES DU PATRIMOINE DE PAYS ET DES MOULINS _ HALLES DE BONNeTABLE;Manifestation Nationale;;Ecole de Musique et de Danse;Place _Armes;;72110;BONNETABLE;;;72039;48.1796705;0.42426271;;02 43 97 60 63;;;;;;;;;;;;;;;;;;;;;;Français;;;;oui;;;;;48.1796705,0.42426271;Sarthe
JOURNeES EUROPeENNES DU PATRIMOINE _ MANOIR DE NUYET ET eGLISE;Manifestation Nationale;;;;;72460;SAVIGNE__EVEQUE;;;72329;48.0906675;0.28360535;;02 43 27 50 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0906675,0.28360535;Sarthe
